setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[0.99328163 0.31007573 0.55967522 0.63886042 0.93482727 0.27423335
 0.55967522 0.48382277 0.01346465 0.61225166 0.94837208 0.79482654
 0.43609338 0.91946676 0.41323244 0.06383124 0.69212796 0.48382277
 0.91946676 0.17249627 0.66552932 0.02410401 0.11135888 0.66552932
 0.8633028  0.77002924 0.139232   0.139232   0.3490397  0.93482727
 0.36968362 0.18488568 0.48382277 0.71851426 0.93482727 0.08151459
 0.77002924 0.39108739 0.45963725 0.99765093 0.45963725 0.99875113
 0.08151459 0.53390728 0.36968362 0.48382277 0.53390728 0.77002924
 0.02903392 0.25747545]","[9.34827271e-01 3.10075730e-01 9.60076470e-01 3.29168072e-01
 3.49039701e-01 3.10075730e-01 8.82599083e-02 7.94826541e-01
 1.64147482e-02 6.12251659e-01 6.65529322e-01 6.12251659e-01
 4.13232440e-01 1.72496272e-01 5.59675216e-01 4.59637254e-01
 4.83822766e-01 7.70029237e-01 6.12251659e-01 8.63302804e-01
 1.97960446e-01 7.18514257e-01 3.49039701e-01 1.72496272e-01
 5.85821277e-01 5.85633896e-03 9.48372085e-01 9.60076470e-01
 6.38860419e-01 4.59637254e-01 9.48372085e-01 5.39576008e-02
 7.44535382e-01 2.11739817e-01 6.92127962e-01 2.91764847e-01
 6.26876255e-04 1.49691056e-01 7.94826541e-01 1.60771824e-01
 6.12251659e-01 8.41636027e-01 3.49039701e-01 1.97960446e-01
 1.29372179e-01 9.48372085e-01 7.94826541e-01 4.13232440e-01
 6.38860419e-01 4.54286666e-02]",0.5159100836565222,0.48746546264601015,0.3013129554143525,0.2983686762584436
df1,0.05,0.0,0.05,"[0.16077182 0.45963725 0.09546732 0.11135888 0.02903392 0.96007647
 0.58582128 0.11135888 0.01993114 0.18488568 0.14969106 0.94837208
 0.17249627 0.61225166 0.55967522 0.53390728 0.63886042 0.74453538
 0.81875363 0.05871658 0.66552932 0.39108739 0.81875363 0.91946676
 0.29176485 0.17249627 0.08825991 0.88359176 0.63886042 0.99875113
 0.8633028  0.10315938 0.3490397  0.25747545 0.139232   0.39108739
 0.66552932 0.88359176 0.8633028  0.90235528 0.88359176 0.81875363
 0.32916807 0.3490397  0.29176485 0.39108739 0.3490397  0.63886042
 0.32916807 0.81875363]","[0.91946676 0.69212796 0.09546732 0.91946676 0.17249627 0.3490397
 0.96996014 0.66552932 0.16077182 0.21173982 0.90235528 0.69212796
 0.79482654 0.45963725 0.43609338 0.69212796 0.32916807 0.32916807
 0.41323244 0.16077182 0.02646763 0.43609338 0.94837208 0.22624166
 0.61225166 0.22624166 0.01809676 0.09546732 0.32916807 0.10315938
 0.08825991 0.01993114 0.36968362 0.04542867 0.02646763 0.77002924
 0.29176485 0.10315938 0.79482654 0.53390728 0.22624166 0.58582128
 0.58582128 0.0416213  0.91946676 0.84163603 0.11135888 0.81875363
 0.50859953 0.14969106]",0.48882933533117956,0.42439207827761743,0.3076688397434358,0.30673745836703065
df1,0.1,0.0,0.1,"[0.08825991 0.3490397  0.10315938 0.45963725 0.01809676 0.45963725
 0.84163603 0.79482654 0.27423335 0.0539576  0.93482727 0.74453538
 0.24148215 0.27423335 0.45963725 0.55967522 0.16077182 0.90235528
 0.53390728 0.98457739 0.63886042 0.74453538 0.09546732 0.32916807
 0.18488568 0.84163603 0.139232   0.01993114 0.55967522 0.66552932
 0.41323244 0.24148215 0.27423335 0.66552932 0.55967522 0.08151459
 0.91946676 0.36968362 0.96007647 0.24148215 0.81875363 0.06932183
 0.61225166 0.22624166 0.63886042 0.19796045 0.32916807 0.79482654
 0.63886042 0.69212796]","[3.49039701e-01 3.91087390e-01 5.87165796e-02 8.15145929e-02
 4.54286666e-02 9.92823487e-03 5.85821277e-01 1.39231997e-01
 1.29372179e-01 8.18753631e-01 2.19294824e-02 3.29168072e-01
 2.38884447e-03 1.60771824e-01 3.69683622e-01 7.52091658e-02
 4.54286666e-02 2.19534247e-04 4.13232440e-01 9.89578389e-01
 1.21765095e-02 4.13232440e-01 2.19294824e-02 8.95145539e-03
 7.44535382e-01 1.29372179e-01 2.41482152e-01 1.34646549e-02
 7.25488863e-03 8.15145929e-02 4.16212987e-02 6.93218252e-02
 2.19294824e-02 2.74233349e-01 8.06268875e-03 1.03159376e-01
 9.92823487e-03 2.26241661e-01 4.13232440e-01 2.41482152e-01
 3.18171260e-02 8.95145539e-03 2.64676308e-02 8.83591758e-01
 8.15145929e-02 8.63302804e-01 3.29168072e-01 2.91764847e-01
 1.11358879e-01 6.92127962e-01]",0.4640431091724953,0.22839391316758204,0.28978638943370366,0.2667588290838286
df1,0.15000000000000002,0.0,0.15000000000000002,"[0.63886042 0.98457739 0.17249627 0.25747545 0.79482654 0.14969106
 0.90235528 0.27423335 0.41323244 0.1200888  0.05871658 0.66552932
 0.06383124 0.61225166 0.02410401 0.77002924 0.77002924 0.90235528
 0.58582128 0.53390728 0.43609338 0.79482654 0.8633028  0.18488568
 0.61225166 0.81875363 0.24148215 0.36968362 0.77002924 0.74453538
 0.41323244 0.01487416 0.21173982 0.139232   0.74453538 0.08151459
 0.84163603 0.63886042 0.96007647 0.18488568 0.99765093 0.77002924
 0.17249627 0.12937218 0.01100057 0.63886042 0.84163603 0.93482727
 0.55967522 0.29176485]","[0.00080676 0.16077182 0.00268159 0.00992823 0.10315938 0.01346465
 0.04953464 0.0539576  0.00103409 0.08151459 0.25747545 0.06932183
 0.01346465 0.36968362 0.00116899 0.14969106 0.43609338 0.00895146
 0.03483221 0.07520917 0.12937218 0.00725489 0.00132017 0.00148941
 0.00992823 0.00992823 0.00377043 0.03181713 0.00167865 0.0539576
 0.02410401 0.01346465 0.00806269 0.01346465 0.27423335 0.00048515
 0.02903392 0.02192948 0.01346465 0.1200888  0.02192948 0.00103409
 0.24148215 0.22624166 0.3490397  0.25747545 0.00148941 0.0416213
 0.11135888 0.22624166]",0.5021631230943504,0.08279014524016752,0.31398535337142547,0.11045856923333783
df1,0.2,0.0,0.2,"[0.79482654 0.36968362 0.79482654 0.69212796 0.29176485 0.01641475
 0.29176485 0.99765093 0.74453538 0.99589898 0.84163603 0.84163603
 0.16077182 0.08151459 0.99939196 0.25747545 0.06383124 0.66552932
 0.25747545 0.00470847 0.71851426 0.0416213  0.06383124 0.93482727
 0.66552932 0.01641475 0.74453538 0.12937218 0.71851426 0.31007573
 0.29176485 0.00132017 0.48382277 0.96007647 0.61225166 0.61225166
 0.45963725 0.12937218 0.48382277 0.12937218 0.55967522 0.3490397
 0.01346465 0.93482727 0.99328163 0.45963725 0.14969106 0.08825991
 0.07520917 0.66552932]","[6.52148041e-03 7.52091658e-02 7.11507895e-04 1.48741570e-02
 1.72496272e-01 7.51402754e-06 7.25488863e-03 1.16899447e-03
 1.84885683e-01 3.47919250e-05 6.93218252e-02 1.48940867e-03
 1.29372179e-01 3.73964604e-04 1.03408932e-03 2.90339156e-02
 3.36269816e-06 4.16212987e-02 2.87103585e-04 1.99311438e-02
 7.11507895e-04 1.80967606e-02 1.99311438e-02 8.31541824e-05
 1.48940867e-03 4.85152370e-04 1.10005675e-02 1.32017364e-03
 4.67045972e-05 2.87103585e-04 2.12592488e-03 9.13835051e-04
 9.13835051e-04 1.10005675e-02 4.70847031e-03 3.91087390e-01
 1.29372179e-01 2.90339156e-02 5.85633896e-03 5.25376643e-03
 1.49691056e-01 3.48322136e-02 3.77043497e-03 1.48741570e-02
 6.52148041e-03 9.92823487e-03 3.18171260e-02 4.70847031e-03
 8.06268875e-03 4.21554189e-03]",0.4591801513504411,0.03315544097032608,0.3332986723001678,0.06872739984757244
df1,0.25,0.0,0.25,"[0.93482727 0.96996014 0.02410401 0.41323244 0.31007573 0.0539576
 0.84163603 0.27423335 0.24148215 0.17249627 0.43609338 0.16077182
 0.93482727 0.63886042 0.21173982 0.81875363 0.58582128 0.01217651
 0.22624166 0.139232   0.43609338 0.00992823 0.00377043 0.07520917
 0.00652148 0.19796045 0.84163603 0.63886042 0.98457739 0.63886042
 0.81875363 0.17249627 0.74453538 0.21173982 0.93482727 0.14969106
 0.06383124 0.77002924 0.14969106 0.07520917 0.139232   0.17249627
 0.01100057 0.39108739 0.21173982 0.45963725 0.77002924 0.10315938
 0.0416213  0.53390728]","[1.67194217e-04 1.97960446e-01 6.24445815e-05 5.25376643e-03
 2.87103585e-04 5.51757155e-04 2.58137431e-05 3.00718998e-03
 8.95145539e-03 5.25376643e-03 6.26876255e-04 1.04585220e-06
 2.68158880e-03 2.99835482e-05 1.67865304e-03 1.67865304e-03
 1.03408932e-03 7.25488863e-03 4.16212987e-02 1.34646549e-02
 2.68158880e-03 1.67865304e-03 1.72496272e-01 2.68158880e-03
 3.95729931e-06 1.89004559e-03 1.26822204e-04 3.47919250e-05
 3.27832948e-04 2.16691945e-07 1.91681353e-04 2.74233349e-01
 8.15145929e-02 1.03408932e-03 4.70847031e-03 9.54673207e-02
 1.26822204e-04 4.85152370e-04 1.03408932e-03 1.32017364e-03
 1.32017364e-03 2.68158880e-03 2.41040115e-02 1.67194217e-04
 1.21765095e-02 3.47919250e-05 3.80948244e-02 9.54673207e-02
 1.89004559e-03 9.92823487e-03]",0.3831730959292524,0.022389897484920363,0.3206680566645407,0.054482782417943965
df1,0.30000000000000004,0.0,0.30000000000000004,"[0.00336895 0.14969106 0.12937218 0.84163603 0.02192948 0.69212796
 0.07520917 0.01217651 0.01346465 0.39108739 0.32916807 0.00652148
 0.50859953 0.61225166 0.84163603 0.08825991 0.45963725 0.58582128
 0.41323244 0.01487416 0.08825991 0.22624166 0.48382277 0.25747545
 0.17249627 0.01993114 0.84163603 0.00806269 0.12937218 0.22624166
 0.27423335 0.36968362 0.74453538 0.24148215 0.18488568 0.06383124
 0.45963725 0.02646763 0.53390728 0.01487416 0.00525377 0.03809482
 0.03181713 0.00652148 0.02192948 0.18488568 0.43609338 0.00525377
 0.31007573 0.16077182]","[2.87103585e-04 7.20954134e-05 4.26159664e-04 3.36894521e-03
 2.85456402e-06 4.67045972e-05 3.27832948e-04 2.99835482e-05
 5.46398884e-06 1.91681353e-04 6.52148041e-03 1.02917236e-05
 2.42077577e-06 2.85456402e-06 7.20954134e-05 4.85152370e-04
 7.11507895e-04 2.51182002e-04 1.03408932e-03 4.70847031e-03
 1.45688880e-04 2.68158880e-03 2.19534247e-04 3.36269816e-06
 4.03308445e-05 2.58137431e-05 3.73964604e-04 1.40396435e-05
 1.93100400e-08 2.51182002e-04 6.38312357e-02 1.45688880e-04
 1.31118659e-08 1.10287908e-04 8.81579698e-07 1.67865304e-03
 3.47919250e-05 4.03308445e-05 2.58137431e-05 3.36894521e-03
 2.05084189e-06 3.95729931e-06 1.10287908e-04 7.25488863e-03
 6.92127962e-01 9.13835051e-04 5.40313022e-05 2.59150246e-07
 1.63732496e-05 1.90755446e-05]",0.25515679481563647,0.01584106513684597,0.25256566190711555,0.09702804483804243
df1,0.35000000000000003,0.0,0.35000000000000003,"[5.25376643e-03 1.89004559e-03 3.80948244e-02 1.03159376e-01
 7.52091658e-02 1.48940867e-03 1.20088801e-01 1.48940867e-03
 1.48741570e-02 1.72496272e-01 3.69683622e-01 1.32017364e-03
 9.92823487e-03 2.57475452e-01 1.29372179e-01 7.52091658e-02
 7.11507895e-04 3.18171260e-02 2.38884447e-03 9.02355278e-01
 1.03159376e-01 9.54673207e-02 1.72496272e-01 1.60771824e-01
 3.18171260e-02 1.48741570e-02 1.29372179e-01 1.10005675e-02
 9.54673207e-02 7.70029237e-01 1.20088801e-01 1.03159376e-01
 5.33907283e-01 3.29168072e-01 8.06268875e-03 2.11739817e-01
 8.06755085e-04 4.95346404e-02 4.54286666e-02 2.41040115e-02
 1.11358879e-01 5.39576008e-02 8.41636027e-01 1.10005675e-02
 2.99835482e-05 6.52148041e-03 4.21554189e-03 3.49039701e-01
 4.83822766e-01 2.26241661e-01]","[1.10287908e-04 5.46398884e-06 1.93100400e-08 1.26822204e-04
 1.20265345e-05 7.11507895e-04 6.41076366e-06 3.09615598e-07
 3.27832948e-04 1.23948622e-06 7.38137688e-11 8.31541824e-05
 4.26159664e-04 5.24820678e-07 4.26159664e-04 2.42077577e-06
 4.99357648e-08 4.65235514e-06 1.14339735e-10 1.02917236e-05
 4.03308445e-05 1.02917236e-05 3.00718998e-03 1.10287908e-04
 2.51182002e-04 2.05084189e-06 1.81007354e-07 7.11507895e-04
 6.26876255e-04 2.33983459e-08 1.64147482e-02 3.42511079e-08
 6.02037032e-08 1.46749215e-06 6.24499263e-07 1.51046944e-07
 3.95729931e-06 1.48940867e-03 1.03408932e-03 4.89436847e-09
 2.87103585e-04 2.58137431e-05 2.51182002e-04 4.65235514e-06
 2.99835482e-05 5.24820678e-07 1.20265345e-05 2.68158880e-03
 7.28113471e-09 4.40608072e-07]",0.14825173016233145,0.0005850625002860707,0.21442448358589913,0.002340883501939322
df1,0.4,0.0,0.4,"[3.48322136e-02 1.11358879e-01 1.34646549e-02 1.03159376e-01
 8.06268875e-03 8.15145929e-02 1.72496272e-01 1.16899447e-03
 3.73964604e-04 3.10075730e-01 1.60771824e-01 2.90339156e-02
 1.64147482e-02 3.77043497e-03 4.36093382e-01 2.26241661e-01
 4.95346404e-02 3.18171260e-02 2.58137431e-05 3.18171260e-02
 9.54673207e-02 4.54286666e-02 9.78089566e-01 3.18171260e-02
 1.20088801e-01 3.73964604e-04 5.51757155e-04 1.60771824e-01
 4.54286666e-02 1.91681353e-04 1.34646549e-02 1.91681353e-04
 8.82599083e-02 3.69683622e-01 2.87103585e-04 5.25376643e-03
 7.11507895e-04 2.41040115e-02 4.54286666e-02 2.41040115e-02
 4.70847031e-03 4.36093382e-01 1.91681353e-04 1.10005675e-02
 3.80948244e-02 4.95346404e-02 4.83822766e-01 9.54673207e-02
 3.80948244e-02 1.26822204e-04]","[6.02037032e-08 6.24499263e-07 4.00670801e-09 3.00718998e-03
 8.86732425e-09 4.40608072e-07 8.81579698e-07 5.40313022e-05
 4.99357648e-08 2.59150246e-07 6.18553174e-12 1.20265345e-05
 9.79737413e-12 6.41076366e-06 7.51402754e-06 6.24499263e-07
 7.38137688e-11 7.25098046e-08 2.85456402e-06 1.14339735e-10
 4.74591296e-11 3.42511079e-08 3.27832948e-04 1.73569175e-06
 1.20265345e-05 4.67045972e-05 4.65235514e-06 3.27832948e-04
 1.04585220e-06 1.02917236e-05 4.00670801e-09 3.36269816e-06
 3.35473948e-10 1.02917236e-05 8.81579698e-07 1.46749215e-06
 1.31118659e-08 1.73569175e-06 1.04864874e-07 2.42826791e-11
 7.20954134e-05 2.42826791e-11 2.85456402e-06 3.47919250e-05
 5.97265054e-09 6.32216726e-10 4.58538879e-13 8.72433497e-08
 1.10287908e-04 1.46749215e-06]",0.10057723288944771,8.129325778467117e-05,0.17447208268944664,0.0004231322512346062
df1,0.45,0.0,0.45,"[7.25488863e-03 8.06755085e-04 3.77043497e-03 5.85633896e-03
 5.51757155e-04 5.46398884e-06 1.29372179e-01 1.21765095e-02
 1.20265345e-05 5.85633896e-03 5.40313022e-05 3.77043497e-03
 5.46398884e-06 1.91681353e-04 6.52148041e-03 1.11358879e-01
 9.13835051e-04 1.16899447e-03 1.91681353e-04 9.92823487e-03
 1.80967606e-02 1.72496272e-01 1.16899447e-03 4.89436847e-09
 1.26822204e-04 1.91681353e-04 1.89004559e-03 2.26241661e-01
 5.39576008e-02 8.95145539e-03 1.26822204e-04 2.26241661e-01
 5.40313022e-05 1.10005675e-02 1.67194217e-04 6.52148041e-03
 1.91681353e-04 3.18171260e-02 1.64147482e-02 1.10005675e-02
 2.87103585e-04 1.48940867e-03 8.06268875e-03 9.54673207e-02
 4.54286666e-02 6.24445815e-05 7.42361542e-07 1.67865304e-03
 2.68158880e-03 3.36894521e-03]","[8.79830246e-06 4.40608072e-07 2.33983459e-08 2.16691945e-07
 7.51402754e-06 3.27672622e-09 6.32216726e-10 1.10287908e-04
 5.40313022e-05 5.92172623e-11 2.16691945e-07 1.04585220e-06
 2.42826791e-11 2.58137431e-05 2.71047184e-10 4.97944383e-14
 1.42091476e-10 7.28113471e-09 1.51046944e-07 1.26822204e-04
 5.97265054e-09 2.59150246e-07 1.25918603e-07 4.58538879e-13
 3.35473948e-10 1.81007354e-07 7.25098046e-08 4.13773042e-08
 1.07881685e-08 2.83236331e-08 9.79737413e-12 2.42826791e-11
 6.24499263e-07 4.58538879e-13 3.27672622e-09 7.42666811e-13
 4.74591296e-11 3.42511079e-08 9.19151252e-11 1.81007354e-07
 1.39985076e-14 3.36269816e-06 9.19151252e-11 4.90739183e-12
 2.59150246e-07 2.83236331e-08 1.76400398e-10 8.79830246e-06
 2.71047184e-10 4.13773042e-08]",0.024899042971942942,6.988649051891157e-06,0.05419677770326343,2.4337450770633542e-05
