setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[0.71851426 0.61225166 0.11135888 0.17249627 0.58582128 0.58582128
 0.18488568 0.24148215 0.29176485 0.50859953 0.93482727 0.8633028
 0.3490397  0.32916807 0.45963725 0.3490397  0.1200888  0.69212796
 0.69212796 0.77002924 0.29176485 0.45963725 0.22624166 0.17249627
 0.27423335 0.32916807 0.17249627 0.8633028  0.22624166 0.19796045
 0.74453538 0.58582128 0.43609338 0.00725489 0.88359176 0.07520917
 0.69212796 0.21173982 0.09546732 0.07520917 0.77002924 0.63886042
 0.06932183 0.16077182 0.79482654 0.99589898 0.63886042 0.21173982
 0.31007573 0.32916807]","[0.36968362 0.94837208 0.18488568 0.03809482 0.50859953 0.58582128
 0.50859953 0.69212796 0.22624166 0.41323244 0.63886042 0.48382277
 0.29176485 0.29176485 0.97808957 0.32916807 0.88359176 0.50859953
 0.50859953 0.69212796 0.29176485 0.32916807 0.27423335 0.07520917
 0.39108739 0.8633028  0.43609338 0.41323244 0.41323244 0.8633028
 0.96007647 0.07520917 0.22624166 0.04542867 0.66552932 0.16077182
 0.63886042 0.55967522 0.53390728 0.29176485 0.98957839 0.84163603
 0.02903392 0.02410401 0.93482727 0.69212796 0.27423335 0.81875363
 0.43609338 0.31007573]",0.4302506041609609,0.4788120624805671,0.27202770473377685,0.2788988062889545
df1,0.05,0.0,0.05,"[0.18488568 0.02192948 0.139232   0.03483221 0.0416213  0.79482654
 0.06932183 0.00525377 0.48382277 0.55967522 0.79482654 0.58582128
 0.58582128 0.12937218 0.32916807 0.50859953 0.41323244 0.93482727
 0.63886042 0.00585634 0.08151459 0.01809676 0.14969106 0.16077182
 0.43609338 0.22624166 0.66552932 0.66552932 0.19796045 0.48382277
 0.48382277 0.21173982 0.71851426 0.22624166 0.17249627 0.1200888
 0.53390728 0.32916807 0.77002924 0.25747545 0.00377043 0.02192948
 0.29176485 0.0416213  0.18488568 0.97808957 0.88359176 0.07520917
 0.48382277 0.3490397 ]","[0.77002924 0.02410401 0.45963725 0.14969106 0.139232   0.74453538
 0.07520917 0.01100057 0.71851426 0.66552932 0.48382277 0.17249627
 0.31007573 0.01487416 0.32916807 0.09546732 0.93482727 0.79482654
 0.39108739 0.06932183 0.69212796 0.01641475 0.32916807 0.05871658
 0.69212796 0.19796045 0.53390728 0.99328163 0.3490397  0.39108739
 0.22624166 0.31007573 0.94837208 0.63886042 0.18488568 0.17249627
 0.32916807 0.18488568 0.69212796 0.36968362 0.0539576  0.00895146
 0.06383124 0.14969106 0.08151459 0.90235528 0.66552932 0.22624166
 0.50859953 0.12937218]",0.3496849116327217,0.3690824490615617,0.2793226367304909,0.2914998807432173
df1,0.1,0.0,0.1,"[1.21765095e-02 2.41482152e-01 2.91764847e-01 1.11358879e-01
 3.18171260e-02 1.84885683e-01 1.48940867e-03 5.39576008e-02
 8.06268875e-03 2.99835482e-05 2.41040115e-02 7.20954134e-05
 7.25488863e-03 2.26241661e-01 7.11507895e-04 5.87165796e-02
 1.91681353e-04 2.12592488e-03 2.22014992e-05 2.91764847e-01
 1.99311438e-02 3.69683622e-01 1.67865304e-03 5.25376643e-03
 1.48741570e-02 6.52148041e-03 1.80967606e-02 1.67865304e-03
 3.77043497e-03 2.12592488e-03 3.18171260e-02 1.91681353e-04
 1.16899447e-03 4.95346404e-02 4.67045972e-05 1.20088801e-01
 3.77043497e-03 3.80948244e-02 2.41040115e-02 8.41636027e-01
 1.11358879e-01 9.92823487e-03 5.24820678e-07 3.48322136e-02
 1.10005675e-02 3.00718998e-03 1.97960446e-01 1.99311438e-02
 1.48741570e-02 2.68158880e-03]","[1.48741570e-02 2.64676308e-02 7.18514257e-01 4.36093382e-01
 4.13232440e-01 1.72496272e-01 4.26159664e-04 2.11739817e-01
 7.52091658e-02 1.16899447e-03 6.93218252e-02 4.03308445e-05
 3.69683622e-01 1.72496272e-01 4.67045972e-05 1.29372179e-01
 3.00718998e-03 1.21765095e-02 1.73569175e-06 4.83822766e-01
 4.59637254e-01 2.11739817e-01 9.92823487e-03 3.80948244e-02
 1.34646549e-02 9.92823487e-03 1.72496272e-01 6.38312357e-02
 1.49691056e-01 7.25488863e-03 4.95346404e-02 1.84885683e-01
 3.48322136e-02 8.15145929e-02 2.12592488e-03 3.29168072e-01
 1.39231997e-01 5.25376643e-03 2.41040115e-02 5.85821277e-01
 6.92127962e-01 2.41482152e-01 1.26822204e-04 8.06268875e-03
 4.95346404e-02 8.95145539e-03 6.92127962e-01 4.95346404e-02
 6.38312357e-02 3.00718998e-03]",0.0701574612392733,0.15383033617017997,0.14199349089465002,0.20264099909879096
df1,0.15000000000000002,0.0,0.15000000000000002,"[5.97265054e-09 1.34646549e-02 3.00718998e-03 1.10287908e-04
 1.16899447e-03 3.27832948e-04 4.26159664e-04 1.63732496e-05
 5.25376643e-03 3.77043497e-03 3.47919250e-05 4.03308445e-05
 2.22014992e-05 8.95145539e-03 1.26822204e-04 6.41076366e-06
 4.16212987e-02 1.20265345e-05 7.11507895e-04 3.77043497e-03
 3.36894521e-03 2.22014992e-05 3.00718998e-03 2.19534247e-04
 6.26876255e-04 1.91681353e-04 7.25488863e-03 4.67045972e-05
 1.48940867e-03 3.80948244e-02 1.40396435e-05 1.25918603e-07
 1.91681353e-04 2.51182002e-04 3.77043497e-03 8.31541824e-05
 1.89004559e-03 2.68158880e-03 8.06755085e-04 2.59150246e-07
 4.85152370e-04 3.00718998e-03 2.99835482e-05 3.09615598e-07
 6.02037032e-08 1.02917236e-05 7.20954134e-05 6.26876255e-04
 4.85152370e-04 8.06755085e-04]","[2.22014992e-05 7.52091658e-02 4.54286666e-02 4.70847031e-03
 4.26159664e-04 3.00718998e-03 1.80967606e-02 1.10287908e-04
 5.85633896e-03 2.19294824e-02 4.26159664e-04 2.87103585e-04
 4.21554189e-03 1.32017364e-03 2.19294824e-02 8.79830246e-06
 1.49691056e-01 2.38884447e-03 7.25488863e-03 1.64147482e-02
 1.64147482e-02 1.32017364e-03 6.93218252e-02 8.06268875e-03
 5.25376643e-03 9.13835051e-04 1.34646549e-02 7.11507895e-04
 2.68158880e-03 1.97960446e-01 6.24445815e-05 3.95729931e-06
 8.06755085e-04 3.73964604e-04 5.39576008e-02 5.51757155e-04
 3.18171260e-02 5.87165796e-02 2.19294824e-02 3.42511079e-08
 4.16212987e-02 1.97960446e-01 1.40396435e-05 1.91681353e-04
 2.05084189e-06 9.13835051e-04 1.67865304e-03 2.68158880e-03
 8.06755085e-04 1.91681353e-04]",0.003047567387133719,0.022182369729048,0.00794970221616334,0.04484649121169662
df1,0.2,0.0,0.2,"[1.26822204e-04 1.67194217e-04 1.93100400e-08 1.46749215e-06
 6.41076366e-06 1.20265345e-05 2.16691945e-07 1.91681353e-04
 2.05084189e-06 2.05084189e-06 2.42077577e-06 1.51046944e-07
 1.20265345e-05 2.05084189e-06 4.65235514e-06 2.58137431e-05
 8.36667685e-15 1.31118659e-08 6.02037032e-08 2.18488808e-09
 2.83236331e-08 1.04585220e-06 1.91681353e-04 4.03308445e-05
 4.99357648e-08 3.03909276e-11 2.16691945e-07 3.42511079e-08
 6.41076366e-06 7.20954134e-05 1.45098666e-09 9.43717929e-13
 1.81007354e-07 2.58137431e-05 1.14339735e-10 5.24820678e-07
 4.65235514e-06 2.33983459e-08 2.33983459e-08 1.31118659e-08
 2.99835482e-05 4.99357648e-08 4.74591296e-11 2.83236331e-08
 8.72433497e-08 3.69535722e-07 4.26159664e-04 1.04585220e-06
 1.31118659e-08 4.67045972e-05]","[3.73964604e-04 8.06755085e-04 6.26876255e-04 1.91681353e-04
 1.67194217e-04 7.11507895e-04 1.63732496e-05 4.21554189e-03
 6.24445815e-05 2.51182002e-04 3.95729931e-06 5.46398884e-06
 3.27832948e-04 4.26159664e-04 3.00718998e-03 3.77043497e-03
 5.12353012e-10 1.81007354e-07 3.36269816e-06 4.03308445e-05
 4.40608072e-07 8.31541824e-05 3.00718998e-03 1.21765095e-02
 4.65235514e-06 3.36269816e-06 8.31541824e-05 1.26822204e-04
 2.38884447e-03 2.51182002e-04 2.33983459e-08 1.25918603e-07
 3.73964604e-04 9.13835051e-04 7.28113471e-09 5.46398884e-06
 6.41076366e-06 1.02917236e-05 3.27832948e-04 3.36269816e-06
 1.90755446e-05 7.42361542e-07 4.40608072e-07 3.36269816e-06
 7.51402754e-06 5.46398884e-06 1.48940867e-03 3.27832948e-04
 6.41076366e-06 3.27832948e-04]",2.8093995358056313e-05,0.0007392630019939316,7.366752447443469e-05,0.0019102037017165107
df1,0.25,0.0,0.25,"[4.89436847e-09 7.25098046e-08 1.39985076e-14 4.00670801e-09
 3.59754634e-13 3.00652497e-14 6.18553174e-12 4.99357648e-08
 5.97265054e-09 2.83236331e-08 3.95729931e-06 5.92172623e-11
 1.18065325e-09 8.81579698e-07 1.72684385e-13 1.34933703e-13
 2.67703473e-09 1.23948622e-06 3.36269816e-06 3.03909276e-11
 2.67024896e-16 1.59199965e-08 6.45842239e-15 3.09615598e-07
 7.42666811e-13 9.79737413e-12 8.81579698e-07 4.99357648e-08
 1.04864874e-07 7.38137688e-11 1.04585220e-06 5.46398884e-06
 5.92172623e-11 4.99357648e-08 2.67703473e-09 9.19151252e-11
 9.59715417e-10 7.38137688e-11 6.18553174e-12 2.42826791e-11
 4.97944383e-14 6.02037032e-08 1.23116467e-11 5.12353012e-10
 1.93100400e-08 4.58538879e-13 1.46749215e-06 2.18488808e-09
 1.81007354e-07 1.81007354e-07]","[1.81007354e-07 8.81579698e-07 9.19151252e-11 4.65235514e-06
 1.04864874e-07 4.89436847e-09 7.42361542e-07 5.97265054e-09
 4.13773042e-08 2.87103585e-04 8.31541824e-05 2.67703473e-09
 2.42077577e-06 3.36894521e-03 8.86732425e-09 1.81007354e-07
 6.24445815e-05 1.91681353e-04 8.06755085e-04 6.41076366e-06
 5.12353012e-10 8.81579698e-07 3.88941584e-12 1.26822204e-04
 4.89436847e-09 6.32216726e-10 5.51757155e-04 2.99835482e-05
 1.03408932e-03 4.89436847e-09 1.90755446e-05 1.26822204e-04
 1.93100400e-08 3.69535722e-07 2.83236331e-08 2.67703473e-09
 2.16691945e-07 4.13773042e-08 1.04864874e-07 7.25098046e-08
 3.88941584e-12 2.99835482e-05 5.97265054e-09 4.13773042e-08
 2.85456402e-06 1.51046944e-07 1.40396435e-05 4.99357648e-08
 1.73569175e-06 9.58129418e-05]",3.889612087475968e-07,0.00013701390200670377,1.0562849613703115e-06,0.00050218632021359
df1,0.30000000000000004,0.0,0.30000000000000004,"[1.39985076e-14 1.14339735e-10 4.14795066e-10 1.08277464e-14
 1.80794013e-14 8.72433497e-08 1.72684385e-13 4.90739183e-12
 1.42091476e-10 4.05057199e-18 4.14795066e-10 1.27528784e-18
 7.84899525e-16 3.35473948e-10 7.38137688e-11 4.97944383e-14
 1.93824891e-11 9.79737413e-12 2.20772463e-13 2.94303610e-17
 1.23116467e-11 2.18772050e-10 5.83855471e-13 1.51920849e-12
 1.17682447e-16 2.67024896e-16 7.38137688e-11 4.58740572e-16
 4.74591296e-11 1.18065325e-09 4.58538879e-13 2.18488808e-09
 2.81965513e-13 5.46398884e-06 1.19798113e-12 8.36667685e-15
 4.74591296e-11 2.81965513e-13 1.14339735e-10 2.43574207e-12
 2.25989398e-21 1.27528784e-18 6.00359848e-16 9.79737413e-12
 7.17482117e-18 1.92461767e-12 2.18772050e-10 3.88941584e-12
 1.54798729e-16 6.45842239e-15]","[3.35473948e-10 5.24820678e-07 1.04864874e-07 1.23116467e-11
 2.67703473e-09 1.81007354e-07 7.79334122e-10 1.81007354e-07
 2.33983459e-08 1.51920849e-12 1.18065325e-09 5.83855471e-13
 1.18065325e-09 1.02917236e-05 2.42077577e-06 9.59715417e-10
 1.51046944e-07 7.42361542e-07 4.89436847e-09 1.23116467e-11
 2.67703473e-09 1.46749215e-06 7.28113471e-09 7.28113471e-09
 2.42826791e-11 9.43717929e-13 1.78141737e-09 1.42091476e-10
 2.05084189e-06 9.58129418e-05 1.14339735e-10 3.95729931e-06
 2.67703473e-09 1.89004559e-03 9.59715417e-10 3.42511079e-08
 1.31118659e-08 1.31118659e-08 4.99357648e-08 4.00670801e-09
 2.81965513e-13 9.59715417e-10 9.79737413e-12 2.18488808e-09
 3.83661921e-15 3.27672622e-09 2.16691945e-07 2.83236331e-08
 2.18488808e-09 4.97944383e-14]",1.1113765854127092e-07,4.0167163827496616e-05,7.647903405652084e-07,0.000264609794516695
df1,0.35000000000000003,0.0,0.35000000000000003,"[5.30299497e-19 2.56565447e-30 2.27745029e-18 1.74328977e-15
 6.64674147e-25 4.73751051e-25 4.98033280e-15 7.51579753e-27
 1.39985076e-14 1.82433512e-24 4.05057199e-18 1.33749750e-15
 2.20772463e-13 1.51920849e-12 7.84899525e-16 1.65262693e-21
 3.56853685e-23 3.04081795e-26 5.13913233e-17 2.93930826e-19
 3.83661921e-15 3.88941584e-12 1.80794013e-14 1.62253462e-19
 7.17482117e-18 9.31581113e-25 1.74328977e-15 9.53441021e-18
 1.33749750e-15 1.74328977e-15 3.89102510e-17 3.40355762e-22
 4.98033280e-15 7.84899525e-16 6.39848579e-14 1.27528784e-18
 1.62253462e-19 7.84899525e-16 5.83855471e-13 1.14339735e-10
 9.53441021e-18 2.18772050e-10 4.97944383e-14 1.08277464e-14
 2.18494984e-19 7.11203305e-19 2.93930826e-19 6.00359848e-16
 1.70510155e-18 9.43897459e-23]","[3.89102510e-17 3.40355762e-22 4.14795066e-10 5.97265054e-09
 1.26570821e-17 1.17682447e-16 1.93824891e-11 6.00359848e-16
 3.42511079e-08 2.67024896e-16 1.54554888e-11 3.88941584e-12
 3.42511079e-08 7.25098046e-08 4.74591296e-11 1.02511949e-15
 8.21358136e-14 6.83217462e-23 4.74591296e-11 1.72684385e-13
 5.92172623e-11 4.13773042e-08 4.14795066e-10 1.72684385e-13
 7.78867068e-12 6.00359848e-16 2.67703473e-09 2.81965513e-13
 2.18772050e-10 1.78141737e-09 4.74591296e-11 7.42666811e-13
 7.25098046e-08 1.51920849e-12 6.02037032e-08 1.19798113e-12
 4.97944383e-14 7.78867068e-12 7.79334122e-10 2.16691945e-07
 2.81965513e-13 1.51046944e-07 5.97265054e-09 5.83855471e-13
 1.54554888e-11 3.88941584e-12 6.45842239e-15 1.23116467e-11
 3.59754634e-13 3.89102510e-17]",6.790130152086006e-12,1.402732361125374e-08,3.42483062144704e-11,3.955077021179963e-08
df1,0.4,0.0,0.4,"[2.33262567e-14 3.60824945e-20 8.92004797e-20 1.06410050e-20
 5.39368124e-18 7.51579753e-27 4.30155538e-26 5.74326505e-21
 2.95255083e-15 8.58131384e-26 3.04081795e-26 3.56853685e-23
 4.05057199e-18 2.57505865e-23 3.60824945e-20 2.14737506e-26
 1.06410050e-20 4.36966274e-28 3.56590826e-34 1.20730402e-21
 6.00359848e-16 6.60370667e-20 1.33749750e-15 4.95418960e-29
 6.42340318e-22 8.92004797e-20 6.60370667e-20 1.27528784e-18
 5.30299497e-19 2.57505865e-23 1.39985076e-14 1.79605588e-22
 4.36966274e-28 5.13913233e-17 3.55797286e-24 5.41174667e-30
 1.30432533e-24 1.85625733e-23 2.54904105e-24 5.74326505e-21
 1.26570821e-17 1.82433512e-24 2.39934411e-25 5.30299497e-19
 1.65262693e-21 9.61617488e-24 3.60824945e-20 9.61617488e-24
 2.25989398e-21 8.92004797e-20]","[9.59715417e-10 6.78067547e-17 1.54554888e-11 2.33262567e-14
 1.54554888e-11 1.08277464e-14 1.54798729e-16 2.67024896e-16
 8.86732425e-09 5.13913233e-17 3.50171296e-16 2.22374207e-17
 8.86732425e-09 8.93744884e-17 1.02511949e-15 3.89102510e-17
 9.79737413e-12 1.70510155e-18 1.44619791e-20 4.89436847e-09
 7.42666811e-13 1.17682447e-16 1.45098666e-09 2.67024896e-16
 8.21358136e-14 6.78067547e-17 1.33749750e-15 1.08277464e-14
 7.42666811e-13 2.22374207e-17 4.00670801e-09 2.26988766e-15
 2.95255083e-15 1.92461767e-12 8.93744884e-17 2.93930826e-19
 1.17682447e-16 5.39368124e-18 1.70510155e-18 5.83855471e-13
 6.39848579e-14 4.05057199e-18 9.53441021e-18 3.59754634e-13
 5.13913233e-17 1.33749750e-15 8.21358136e-14 5.13913233e-17
 1.39985076e-14 9.43717929e-13]",8.458309567470917e-16,5.818546141002048e-10,3.7819854716193585e-15,1.9150283910380887e-09
df1,0.45,0.0,0.45,"[2.54904105e-24 4.96114708e-24 4.73751051e-25 2.54904105e-24
 3.37322101e-25 2.67038982e-32 2.60622931e-27 2.22993385e-39
 8.58131384e-26 6.91059303e-24 1.07520219e-34 3.89924968e-31
 1.24351631e-31 2.66308246e-20 5.64011511e-33 5.41174667e-30
 2.39365688e-34 1.47818613e-28 8.58131384e-26 8.93744884e-17
 7.51579753e-27 1.65262693e-21 6.83217462e-23 5.34786658e-37
 1.76381982e-30 8.33270257e-33 2.37806656e-29 8.81076169e-22
 4.73751051e-25 1.60509935e-34 1.81313081e-32 1.13678721e-29
 6.64674147e-25 1.42774613e-35 5.28569498e-27 1.27976799e-27
 1.82198508e-31 5.41174667e-30 8.58131384e-26 3.71348188e-27
 1.47818613e-28 6.25831333e-28 3.40355762e-22 4.95418960e-29
 6.60370667e-20 8.09234334e-37 1.02784044e-28 2.14737506e-26
 1.70487812e-25 1.27976799e-27]","[3.83661921e-15 2.27745029e-18 3.87118023e-14 1.02511949e-15
 8.93744884e-17 1.65262693e-21 1.27528784e-18 5.77449424e-32
 4.21288896e-21 1.39985076e-14 8.58131384e-26 4.94023307e-23
 3.08714081e-21 2.26988766e-15 3.60824945e-20 3.60824945e-20
 3.08714081e-21 6.00359848e-16 1.65262693e-21 4.58538879e-13
 2.94303610e-17 2.67024896e-16 8.93744884e-17 4.94023307e-23
 1.62253462e-19 1.62253462e-19 1.30270202e-22 4.90739183e-12
 8.93744884e-17 1.30432533e-24 9.43897459e-23 9.53441021e-18
 2.67024896e-16 8.93744884e-17 1.62253462e-19 1.39985076e-14
 6.42340318e-22 1.74328977e-15 1.70510155e-18 2.03413945e-16
 5.13913233e-17 1.27528784e-18 3.88941584e-12 9.53441021e-18
 5.83855471e-13 6.60370667e-20 6.83217462e-23 1.06410050e-20
 1.80794013e-14 4.05057199e-18]",1.7894023613544995e-18,1.986934320542505e-13,1.2512159054857486e-17,8.693616417916081e-13
