delta,pval_base,pval,setting,gap
0.0,0.14,0.06,df1,0.08000000000000002
0.05,0.16,0.34,df1,-0.18000000000000002
0.1,0.26,0.82,df1,-0.5599999999999999
0.15000000000000002,0.4,1.0,df1,-0.6
0.2,0.58,1.0,df1,-0.42000000000000004
0.25,0.82,1.0,df1,-0.18000000000000005
0.30000000000000004,0.94,1.0,df1,-0.06000000000000005
0.35000000000000003,0.98,1.0,df1,-0.020000000000000018
0.4,0.98,1.0,df1,-0.020000000000000018
0.45,1.0,1.0,df1,0.0
0.5,1.0,1.0,df1,0.0
0.55,1.0,1.0,df1,0.0
0.6000000000000001,1.0,1.0,df1,0.0
0.65,1.0,1.0,df1,0.0
0.7000000000000001,1.0,1.0,df1,0.0
0.75,1.0,1.0,df1,0.0
0.8,1.0,1.0,df1,0.0
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.14,0.06,df2,0.08000000000000002
0.05,0.14,0.06,df2,0.08000000000000002
0.1,0.1,0.2,df2,-0.1
0.15000000000000002,0.16,0.34,df2,-0.18000000000000002
0.2,0.08,0.5,df2,-0.42
0.25,0.12,0.68,df2,-0.56
0.30000000000000004,0.26,0.8,df2,-0.54
0.35000000000000003,0.4,0.8,df2,-0.4
0.4,0.3,0.96,df2,-0.6599999999999999
0.45,0.44,0.98,df2,-0.54
0.5,0.48,0.96,df2,-0.48
0.55,0.48,1.0,df2,-0.52
0.6000000000000001,0.4,1.0,df2,-0.6
0.65,0.6,1.0,df2,-0.4
0.7000000000000001,0.66,1.0,df2,-0.33999999999999997
0.75,0.78,1.0,df2,-0.21999999999999997
0.8,0.88,1.0,df2,-0.12
0.8500000000000001,0.96,1.0,df2,-0.040000000000000036
0.9,0.96,1.0,df2,-0.040000000000000036
0.9500000000000001,1.0,1.0,df2,0.0
1.0,1.0,1.0,df2,0.0
0.0,1.0,1.0,df3,0.0
0.05,1.0,1.0,df3,0.0
0.1,1.0,1.0,df3,0.0
0.15000000000000002,1.0,1.0,df3,0.0
0.2,1.0,1.0,df3,0.0
0.25,1.0,1.0,df3,0.0
0.30000000000000004,1.0,1.0,df3,0.0
0.35000000000000003,1.0,1.0,df3,0.0
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
