delta,pval_base,pval,setting,gap
0.0,0.12,0.06,df1,0.06
0.05,0.14,0.28,df1,-0.14
0.1,0.32,0.8,df1,-0.48000000000000004
0.15000000000000002,0.52,1.0,df1,-0.48
0.2,0.92,1.0,df1,-0.07999999999999996
0.25,0.98,1.0,df1,-0.020000000000000018
0.30000000000000004,0.98,1.0,df1,-0.020000000000000018
0.35000000000000003,1.0,1.0,df1,0.0
0.4,1.0,1.0,df1,0.0
0.45,1.0,1.0,df1,0.0
0.5,1.0,1.0,df1,0.0
0.55,1.0,1.0,df1,0.0
0.6000000000000001,1.0,1.0,df1,0.0
0.65,1.0,1.0,df1,0.0
0.7000000000000001,1.0,1.0,df1,0.0
0.75,1.0,1.0,df1,0.0
0.8,1.0,1.0,df1,0.0
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.12,0.06,df2,0.06
0.05,0.38,0.04,df2,0.34
0.1,0.74,0.14,df2,0.6
0.15000000000000002,0.98,0.02,df2,0.96
0.2,1.0,0.06,df2,0.94
0.25,1.0,0.12,df2,0.88
0.30000000000000004,1.0,0.2,df2,0.8
0.35000000000000003,1.0,0.2,df2,0.8
0.4,1.0,0.54,df2,0.45999999999999996
0.45,1.0,0.64,df2,0.36
0.5,1.0,0.8,df2,0.19999999999999996
0.55,1.0,0.96,df2,0.040000000000000036
0.6000000000000001,1.0,0.9,df2,0.09999999999999998
0.65,1.0,0.96,df2,0.040000000000000036
0.7000000000000001,1.0,0.98,df2,0.020000000000000018
0.75,1.0,1.0,df2,0.0
0.8,1.0,1.0,df2,0.0
0.8500000000000001,1.0,1.0,df2,0.0
0.9,1.0,1.0,df2,0.0
0.9500000000000001,1.0,1.0,df2,0.0
1.0,1.0,1.0,df2,0.0
0.0,1.0,1.0,df3,0.0
0.05,1.0,1.0,df3,0.0
0.1,1.0,0.94,df3,0.06000000000000005
0.15000000000000002,1.0,0.74,df3,0.26
0.2,1.0,0.28,df3,0.72
0.25,1.0,0.28,df3,0.72
0.30000000000000004,1.0,0.5,df3,0.5
0.35000000000000003,1.0,0.86,df3,0.14
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
