delta,pval_base,pval,setting,gap
0.0,0.1,0.08,df1,0.020000000000000004
0.05,0.28,0.28,df1,0.0
0.1,0.9,0.86,df1,0.040000000000000036
0.15000000000000002,1.0,1.0,df1,0.0
0.2,1.0,1.0,df1,0.0
0.25,1.0,1.0,df1,0.0
0.30000000000000004,1.0,1.0,df1,0.0
0.35000000000000003,1.0,1.0,df1,0.0
0.4,1.0,1.0,df1,0.0
0.45,1.0,1.0,df1,0.0
0.5,1.0,1.0,df1,0.0
0.55,1.0,1.0,df1,0.0
0.6000000000000001,1.0,1.0,df1,0.0
0.65,1.0,1.0,df1,0.0
0.7000000000000001,1.0,1.0,df1,0.0
0.75,1.0,1.0,df1,0.0
0.8,1.0,1.0,df1,0.0
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.1,0.08,df2,0.020000000000000004
0.05,0.06,0.06,df2,0.0
0.1,0.08,0.04,df2,0.04
0.15000000000000002,0.06,0.02,df2,0.039999999999999994
0.2,0.08,0.08,df2,0.0
0.25,0.16,0.18,df2,-0.01999999999999999
0.30000000000000004,0.14,0.26,df2,-0.12
0.35000000000000003,0.26,0.24,df2,0.020000000000000018
0.4,0.2,0.24,df2,-0.03999999999999998
0.45,0.26,0.3,df2,-0.03999999999999998
0.5,0.36,0.3,df2,0.06
0.55,0.4,0.38,df2,0.020000000000000018
0.6000000000000001,0.44,0.28,df2,0.15999999999999998
0.65,0.5,0.28,df2,0.21999999999999997
0.7000000000000001,0.62,0.48,df2,0.14
0.75,0.74,0.46,df2,0.27999999999999997
0.8,0.8,0.5,df2,0.30000000000000004
0.8500000000000001,0.8,0.64,df2,0.16000000000000003
0.9,0.82,0.68,df2,0.1399999999999999
0.9500000000000001,0.94,0.68,df2,0.2599999999999999
1.0,0.92,0.68,df2,0.24
0.0,0.66,0.72,df3,-0.05999999999999994
0.05,0.78,1.0,df3,-0.21999999999999997
0.1,0.96,1.0,df3,-0.040000000000000036
0.15000000000000002,1.0,1.0,df3,0.0
0.2,1.0,1.0,df3,0.0
0.25,1.0,1.0,df3,0.0
0.30000000000000004,1.0,1.0,df3,0.0
0.35000000000000003,1.0,1.0,df3,0.0
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
