epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_div (enc-only),val_divergence (enc-only),train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
1,0.11170058945814769,0.0647798639369011,0.0644904164671898,0.02894474697113037,0.20826335748036703,0.03028352451324463,0.06223861997326215,0.02574809392293294,0.062496100912491484,0.8561197916666666,1.0,0.0,0.8561197916666666,0.14388020833333334,0.0644904164671898,0.028942309379577636,0.06477983956098557,0.844,1.0,0.0,0.844,0.156
2,0.03577265236526728,0.031509760028123855,0.03110517171025276,0.04045883178710938,0.03356130917867025,0.042251267433166505,0.031416951989134155,0.03982381025950114,0.031815190091729166,0.9534505208333334,0.9473883421650265,0.9906976744186047,0.8600260416666666,0.13997395833333334,0.03110517171025276,0.04062805461883545,0.031511452256441114,0.957,0.9537914691943128,0.9743589743589743,0.844,0.156
3,0.03512187612553438,0.02272094269990921,0.02189689475297928,0.08240479469299317,0.04227137565612793,0.038518747329711917,0.021747097993890446,0.07206559181213379,0.022467753912011782,0.9339192708333334,0.9980995819080197,0.5510204081632653,0.8564453125,0.1435546875,0.02189689475297928,0.08245986557006836,0.022721493408679964,0.935,1.0,0.5833333333333334,0.844,0.156
4,0.015788590535521507,0.01993039438486099,0.01704698747396469,0.2883406910896301,0.03573306401570638,0.02487833023071289,0.01583864198376735,0.2792890667915344,0.018631532651682693,0.8639322916666666,1.0,0.05215419501133787,0.8564453125,0.1435546875,0.01704698747396469,0.288275173664093,0.019929739210605618,0.85,1.0,0.038461538461538464,0.844,0.156
5,0.021315872048338253,0.018656187804341317,0.016917777732014656,0.17384100723266602,0.017173131306966145,0.0016828527450561523,0.015319523711999258,0.15135157108306885,0.016833039422829946,0.8606770833333334,1.0,0.036036036036036036,0.85546875,0.14453125,0.016917777732014656,0.17370418453216552,0.01865481957733631,0.849,1.0,0.03205128205128205,0.844,0.156
6,0.014956314427157244,0.01243656049668789,0.011673740729689599,0.0762819766998291,0.004307468732198079,0.008934114456176758,0.011161411801973978,0.06771628061930339,0.011838574608167013,0.8779296875,1.0,0.14965986394557823,0.8564453125,0.1435546875,0.011673740729689599,0.07641886043548583,0.012437929334044457,0.869,1.0,0.16025641025641027,0.844,0.156
7,0.008266567097355923,0.0045482017338275916,0.004002536326646805,0.054566540718078614,0.006392518679300944,-0.00032042598724365233,0.003892644386117657,0.05551576614379883,0.004447802047555646,0.9134114583333334,1.0,0.3856812933025404,0.8590494791666666,0.14095052083333334,0.004002536326646805,0.05465512561798096,0.0045490875828266145,0.914,1.0,0.44871794871794873,0.844,0.156
8,0.005912447503457467,0.006119964192211627,0.005568349726498127,0.055161446571350095,0.0036122004191080728,0.00453791332244873,0.005708698648959398,0.057718356450398765,0.006285882213463386,0.9586588541666666,0.9984796655264158,0.7210884353741497,0.8564453125,0.1435546875,0.005568349726498127,0.05510582637786865,0.006119407990276813,0.958,0.9988151658767772,0.7371794871794872,0.844,0.156
9,0.006910751418521007,0.006184563605040312,0.005727230679243803,0.04573329257965088,0.004328807195027669,0.002951785087585449,0.005717725182573001,0.04706188042958578,0.006188343986868859,0.9622395833333334,0.9984956750658143,0.7288135593220338,0.8655598958333334,0.13444010416666666,0.005727230679243803,0.04592248058319092,0.006186455485075713,0.958,1.0,0.7307692307692307,0.844,0.156
10,0.004670827183872461,0.003987603869661688,0.003668117156252265,0.03194867134094238,0.000782171885172526,-0.0006251420974731445,0.0036556871297458806,0.03162642319997152,0.003971951361745596,0.9303385416666666,1.0,0.49047619047619045,0.86328125,0.13671875,0.003668117156252265,0.03199114799499512,0.003988028636202216,0.924,1.0,0.5128205128205128,0.844,0.156
11,0.003271508806695541,0.00309420744292438,0.002904323114082217,0.018988432884216307,0.001219948132832845,0.002470417022705078,0.002674161922186613,0.017921805381774902,0.002853379976004362,0.91015625,1.0,0.36551724137931035,0.8583984375,0.1416015625,0.002904323114082217,0.018976318359375,0.003094086297675967,0.905,1.0,0.391025641025641,0.844,0.156
12,0.0030854525975883007,0.002673313416168094,0.0026661442648619415,0.0007169151306152344,0.0007063945134480795,-0.0009564323425292969,0.0024885553090522685,0.0006946325302124023,0.0024955016343543926,0.9095052083333334,1.0,0.38084632516703787,0.8538411458333334,0.14615885416666666,0.0026661442648619415,0.0007090110778808594,0.00267323437564075,0.911,1.0,0.42948717948717946,0.844,0.156
13,0.0022013674024492502,0.0021548028387129306,0.0020429500974714757,0.011185274124145508,7.339318593343099e-05,0.0024717559814453126,0.0020092219735185304,0.012595216433207193,0.002135174137850602,0.9296875,0.9992322456813819,0.5417558886509636,0.8479817708333334,0.15201822916666666,0.0020429500974714757,0.01120255184173584,0.0021549756158888342,0.929,1.0,0.5448717948717948,0.844,0.156
14,0.0017154924183463056,0.001685663482286036,0.001670435802079737,0.0015227680206298829,0.001742402712504069,-2.100372314453125e-05,0.0016476660578822095,0.0016596317291259766,0.0016642623751734692,0.9446614583333334,0.9992409867172676,0.6155606407322655,0.8577473958333334,0.14225260416666666,0.001670435802079737,0.0014812641143798829,0.0016852484432235359,0.945,1.0,0.6474358974358975,0.844,0.156
15,0.0013741800794377923,0.0011026601319387554,0.0010894653992727398,0.0013194732666015625,0.0008312463760375977,-0.00024522686004638673,0.0010565742462252576,0.0016084909439086914,0.0010726591556643446,0.9443359375,0.9996193376475067,0.6179775280898876,0.8551432291666666,0.14485677083333334,0.0010894653992727398,0.0012724428176879882,0.0011021898274496196,0.94,1.0,0.6153846153846154,0.844,0.156
16,0.0010135549042994778,0.0009111867220886052,0.0008872132380492986,0.002397348403930664,0.000574787457784017,-0.0004169492721557617,0.0008648120953390995,0.0033979415893554688,0.0008987915112326542,0.9371744791666666,0.999236641221374,0.577433628318584,0.8528645833333334,0.14713541666666666,0.0008872132380492986,0.002389179229736328,0.0009111050303466619,0.939,1.0,0.6089743589743589,0.844,0.156
