delta,pval_base,pval,setting,gap
0.0,0.08,0.08,df1,0.0
0.02,0.06,0.08,df1,-0.020000000000000004
0.04,0.06,0.1,df1,-0.04000000000000001
0.06,0.04,0.04,df1,0.0
0.08,0.14,0.12,df1,0.020000000000000018
0.1,0.18,0.16,df1,0.01999999999999999
0.12,0.16,0.16,df1,0.0
0.14,0.22,0.2,df1,0.01999999999999999
0.16,0.38,0.4,df1,-0.020000000000000018
0.18,0.48,0.46,df1,0.019999999999999962
0.2,0.6,0.6,df1,0.0
0.22,0.76,0.68,df1,0.07999999999999996
0.24,0.74,0.82,df1,-0.07999999999999996
0.26,0.88,0.9,df1,-0.020000000000000018
0.28,0.96,0.96,df1,0.0
0.3,0.98,1.0,df1,-0.020000000000000018
0.32,1.0,1.0,df1,0.0
0.34,0.98,1.0,df1,-0.020000000000000018
0.36,1.0,1.0,df1,0.0
0.38,1.0,1.0,df1,0.0
0.4,1.0,1.0,df1,0.0
0.0,0.08,0.08,df2,0.0
0.02,0.14,0.12,df2,0.020000000000000018
0.04,0.16,0.2,df2,-0.04000000000000001
0.06,0.1,0.06,df2,0.04000000000000001
0.08,0.1,0.2,df2,-0.1
0.1,0.14,0.08,df2,0.06000000000000001
0.12,0.14,0.12,df2,0.020000000000000018
0.14,0.18,0.26,df2,-0.08000000000000002
0.16,0.32,0.34,df2,-0.020000000000000018
0.18,0.28,0.34,df2,-0.06
0.2,0.3,0.42,df2,-0.12
0.22,0.42,0.44,df2,-0.020000000000000018
0.24,0.52,0.64,df2,-0.12
0.26,0.6,0.64,df2,-0.040000000000000036
0.28,0.58,0.54,df2,0.039999999999999925
0.3,0.74,0.76,df2,-0.020000000000000018
0.32,0.7,0.76,df2,-0.06000000000000005
0.34,0.9,0.82,df2,0.08000000000000007
0.36,0.88,0.9,df2,-0.020000000000000018
0.38,0.9,0.9,df2,0.0
0.4,0.96,0.96,df2,0.0
0.0,0.06,0.08,df3,-0.020000000000000004
0.025,0.1,0.1,df3,0.0
0.05,0.14,0.2,df3,-0.06
0.07500000000000001,0.08,0.12,df3,-0.039999999999999994
0.1,0.14,0.1,df3,0.04000000000000001
0.125,0.02,0.08,df3,-0.06
0.15000000000000002,0.1,0.04,df3,0.060000000000000005
0.17500000000000002,0.14,0.2,df3,-0.06
0.2,0.1,0.2,df3,-0.1
0.225,0.2,0.26,df3,-0.06
0.25,0.14,0.3,df3,-0.15999999999999998
0.275,0.22,0.36,df3,-0.13999999999999999
0.30000000000000004,0.14,0.32,df3,-0.18
0.325,0.16,0.38,df3,-0.22
0.35000000000000003,0.22,0.5,df3,-0.28
0.375,0.16,0.54,df3,-0.38
0.4,0.3,0.74,df3,-0.44
0.42500000000000004,0.32,0.72,df3,-0.39999999999999997
0.45,0.36,0.68,df3,-0.32000000000000006
0.47500000000000003,0.48,0.76,df3,-0.28
0.5,0.52,0.82,df3,-0.29999999999999993
