delta,pval_base,pval,setting,gap
0.0,0.08,0.12,df1,-0.039999999999999994
0.05,0.14,0.1,df1,0.04000000000000001
0.1,0.26,0.18,df1,0.08000000000000002
0.15000000000000002,0.4,0.16,df1,0.24000000000000002
0.2,0.8,0.24,df1,0.56
0.25,0.96,0.4,df1,0.5599999999999999
0.30000000000000004,0.98,0.32,df1,0.6599999999999999
0.35000000000000003,1.0,0.56,df1,0.43999999999999995
0.4,0.98,0.6,df1,0.38
0.45,1.0,0.74,df1,0.26
0.5,1.0,0.78,df1,0.21999999999999997
0.55,1.0,0.92,df1,0.07999999999999996
0.6000000000000001,1.0,0.94,df1,0.06000000000000005
0.65,1.0,0.94,df1,0.06000000000000005
0.7000000000000001,1.0,0.98,df1,0.020000000000000018
0.75,1.0,0.96,df1,0.040000000000000036
0.8,1.0,0.98,df1,0.020000000000000018
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.08,0.12,df2,-0.039999999999999994
0.05,0.38,0.48,df2,-0.09999999999999998
0.1,0.8,0.8,df2,0.0
0.15000000000000002,0.98,1.0,df2,-0.020000000000000018
0.2,1.0,1.0,df2,0.0
0.25,1.0,1.0,df2,0.0
0.30000000000000004,1.0,1.0,df2,0.0
0.35000000000000003,1.0,1.0,df2,0.0
0.4,1.0,1.0,df2,0.0
0.45,1.0,1.0,df2,0.0
0.5,1.0,1.0,df2,0.0
0.55,1.0,1.0,df2,0.0
0.6000000000000001,1.0,1.0,df2,0.0
0.65,1.0,1.0,df2,0.0
0.7000000000000001,1.0,1.0,df2,0.0
0.75,1.0,1.0,df2,0.0
0.8,1.0,1.0,df2,0.0
0.8500000000000001,1.0,1.0,df2,0.0
0.9,1.0,1.0,df2,0.0
0.9500000000000001,1.0,1.0,df2,0.0
1.0,1.0,1.0,df2,0.0
0.0,1.0,1.0,df3,0.0
0.05,1.0,1.0,df3,0.0
0.1,1.0,1.0,df3,0.0
0.15000000000000002,1.0,1.0,df3,0.0
0.2,1.0,1.0,df3,0.0
0.25,1.0,1.0,df3,0.0
0.30000000000000004,1.0,1.0,df3,0.0
0.35000000000000003,1.0,1.0,df3,0.0
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
