setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df1,0.0,True,0.0,0.0,1.0,0.0,1.0,0.4617248902989241,0.2850908052582297,0.49168807645799356,0.26974579373135577,1.0,0.0,0.5800036371714182,0.2785109503927616,0.4617248902989241,0.2850908052582297,0.49168807645799356,0.26974579373135577,1.0,0.0,0.5800036371714182,0.2785109503927616,0.9183988165855408,0.003613645373019933,0.9180602633953094,0.0033117279526579005
df1,0.05,True,0.0,0.05,1.0,0.0,1.0,0.23072856922512572,0.24347921133972641,0.22038868013812313,0.2658257732210212,1.0,0.0,0.4090357241779828,0.30480306434794835,0.23072856922512572,0.24347921133972641,0.22038868013812313,0.2658257732210212,1.0,0.0,0.4090357241779828,0.30480306434794835,0.9176753222942352,0.003427577363932641,0.9175461101531982,0.0035531591412286756
df1,0.1,True,0.0,0.1,1.0,0.0,1.0,0.042965307077262954,0.07621066986367565,0.007284198730201731,0.0226869580991738,1.0,0.0,0.35627607721100985,0.26500610837254057,0.042965307077262954,0.07621066986367565,0.007284198730201731,0.0226869580991738,1.0,0.0,0.35627607721100985,0.26500610837254057,0.918356192111969,0.004064348140265672,0.9189157998561859,0.00392682379875416
df1,0.15000000000000002,True,0.0,0.15000000000000002,1.0,0.0,1.0,0.004119145086369615,0.023070650834715854,5.9042050902237816e-05,0.0001893038771466621,1.0,0.0,0.3085657522345377,0.26045555701246365,0.004119145086369615,0.023070650834715854,5.9042050902237816e-05,0.0001893038771466621,1.0,0.0,0.3085657522345377,0.26045555701246365,0.9184179699420929,0.002849514507519093,0.9184515404701233,0.0034050591135511977
df1,0.2,True,0.0,0.2,1.0,0.0,1.0,1.4243674765528379e-05,7.59646207901611e-05,1.410923030489412e-08,7.856862517317443e-08,1.0,0.0,0.20313163946436094,0.2558689455093748,1.4243674765528379e-05,7.59646207901611e-05,1.410923030489412e-08,7.856862517317443e-08,1.0,0.0,0.20313163946436094,0.2558689455093748,0.91797438621521,0.0037258722815495834,0.9178999483585357,0.003011908308846253
df1,0.25,True,0.0,0.25,1.0,0.0,1.0,5.9100589829165415e-08,3.114986951679247e-07,6.485445204035737e-12,4.356396245359076e-11,1.0,0.0,0.13716300103796225,0.20946262916111455,5.9100589829165415e-08,3.114986951679247e-07,6.485445204035737e-12,4.356396245359076e-11,1.0,0.0,0.13716300103796225,0.20946262916111455,0.9181432247161865,0.003359619139780383,0.918143789768219,0.0036195151120509855
df1,0.30000000000000004,True,0.0,0.30000000000000004,1.0,0.0,1.0,5.016924337623889e-12,3.323167769076043e-11,2.2385117556157722e-18,1.411622527137595e-17,1.0,0.0,0.08939252714301102,0.17247404759985094,5.016924337623889e-12,3.323167769076043e-11,2.2385117556157722e-18,1.411622527137595e-17,1.0,0.0,0.08939252714301102,0.17247404759985094,0.9185123765468597,0.004023254579900368,0.9175933027267456,0.00391670710825252
df1,0.35000000000000003,True,0.0,0.35000000000000003,1.0,0.0,1.0,1.541224731551229e-14,1.0717170267210344e-13,2.47214465834817e-26,1.5698158365612532e-25,1.0,0.0,0.05036428910433441,0.08886662960424088,1.541224731551229e-14,1.0717170267210344e-13,2.47214465834817e-26,1.5698158365612532e-25,1.0,0.0,0.05036428910433441,0.08886662960424088,0.9168865430355072,0.00330776294424467,0.9195397865772247,0.003866090457207752
df1,0.4,True,0.0,0.4,1.0,0.0,1.0,1.1738838806832673e-19,8.295576030137128e-19,7.806897711522234e-33,5.433546981593918e-32,1.0,0.0,0.024843440288520657,0.09502349884834843,1.1738838806832673e-19,8.295576030137128e-19,7.806897711522234e-33,5.433546981593918e-32,1.0,0.0,0.024843440288520657,0.09502349884834843,0.9178882086277008,0.0042162462910935936,0.918627837896347,0.0038269421195447377
df1,0.45,True,0.0,0.45,1.0,0.0,1.0,2.485315563100526e-26,1.2938840611448687e-25,6.592512426608303e-37,4.661610063315302e-36,1.0,0.0,0.01055891769304337,0.024976762864487995,2.485315563100526e-26,1.2938840611448687e-25,6.592512426608303e-37,4.661610063315302e-36,1.0,0.0,0.01055891769304337,0.024976762864487995,0.919069972038269,0.003121597306060642,0.9184630346298218,0.0037949876865279106
df1,0.5,True,0.0,0.5,1.0,0.0,1.0,1.3822344842520423e-32,8.790827482948753e-32,6.738706046914682e-55,3.5292779953805235e-54,1.0,0.0,0.0027183392845945985,0.013036703139314688,1.3822344842520423e-32,8.790827482948753e-32,6.738706046914682e-55,3.5292779953805235e-54,1.0,0.0,0.0027183392845945985,0.013036703139314688,0.9178596842288971,0.0033665509114502823,0.918571172952652,0.003575377884703056
df1,0.55,True,0.0,0.55,1.0,0.0,1.0,6.579259155870373e-42,4.376022617892978e-41,2.4013399043595823e-66,1.576908530689593e-65,1.0,0.0,0.003815630516067628,0.01600591739499082,6.579259155870373e-42,4.376022617892978e-41,2.4013399043595823e-66,1.576908530689593e-65,1.0,0.0,0.003815630516067628,0.01600591739499082,0.9181040143966674,0.0035682331618117217,0.9187312567234039,0.003234898760379959
df1,0.6000000000000001,True,0.0,0.6000000000000001,1.0,0.0,1.0,2.3386381758135388e-46,1.2015984430648008e-45,3.963436993189339e-85,2.31903815873852e-84,1.0,0.0,0.001195746407469712,0.005013364612738895,2.3386381758135388e-46,1.2015984430648008e-45,3.963436993189339e-85,2.31903815873852e-84,1.0,0.0,0.001195746407469712,0.005013364612738895,0.9182913935184479,0.004226477139285823,0.9180378496646882,0.004120595752724282
df1,0.65,True,0.0,0.65,1.0,0.0,1.0,1.1988472816799497e-58,8.408526809271644e-58,4.081311963176347e-87,2.8859174499642312e-86,1.0,0.0,0.00012621985727451202,0.0004318106671310037,1.1988472816799497e-58,8.408526809271644e-58,4.081311963176347e-87,2.8859174499642312e-86,1.0,0.0,0.00012621985727451202,0.0004318106671310037,0.9177360939979553,0.003630795637483988,0.9186190915107727,0.003996836908921355
df1,0.7000000000000001,True,0.0,0.7000000000000001,1.0,0.0,1.0,1.0194849120386461e-69,3.926014497190868e-69,5.267771365454966e-98,2.665896191616332e-97,1.0,0.0,2.836903021089649e-05,0.00016418828486217831,1.0194849120386461e-69,3.926014497190868e-69,5.267771365454966e-98,2.665896191616332e-97,1.0,0.0,2.836903021089649e-05,0.00016418828486217831,0.9185647881031036,0.0033467071752370384,0.9190217614173889,0.003119026052984819
df1,0.75,True,0.0,0.75,1.0,0.0,1.0,2.475254414121185e-73,1.7502279751714727e-72,1.2768920862289361e-124,9.01617403265863e-124,1.0,0.0,5.53303963474686e-06,2.7457856044607262e-05,2.475254414121185e-73,1.7502279751714727e-72,1.2768920862289361e-124,9.01617403265863e-124,1.0,0.0,5.53303963474686e-06,2.7457856044607262e-05,0.9174191772937774,0.003578938631094578,0.91866734623909,0.004306218705768919
df1,0.8,True,0.0,0.8,1.0,0.0,1.0,4.479153319837661e-86,3.149473980214843e-85,7.496390681686623e-139,3.826645646080639e-138,1.0,0.0,1.0702685856214482e-05,7.437513718957485e-05,4.479153319837661e-86,3.149473980214843e-85,7.496390681686623e-139,3.826645646080639e-138,1.0,0.0,1.0702685856214482e-05,7.437513718957485e-05,0.918699278831482,0.004007054103815076,0.918242222070694,0.003573454212600336
df1,0.8500000000000001,True,0.0,0.8500000000000001,1.0,0.0,1.0,3.728421755631032e-91,2.6363070763937014e-90,5.758527300118522e-160,3.8140260320466685e-159,1.0,0.0,2.2572546165484638e-07,1.1095381023760243e-06,3.728421755631032e-91,2.6363070763937014e-90,5.758527300118522e-160,3.8140260320466685e-159,1.0,0.0,2.2572546165484638e-07,1.1095381023760243e-06,0.918001492023468,0.004035250499676353,0.918917578458786,0.004287551302171509
df1,0.9,True,0.0,0.9,1.0,0.0,1.0,1.194392647994395e-108,8.217886183335005e-108,3.4448905412285086e-180,0.0,1.0,0.0,6.7435723937274274e-09,2.3969568535706448e-08,1.194392647994395e-108,8.217886183335005e-108,3.4448905412285086e-180,0.0,1.0,0.0,6.7435723937274274e-09,2.3969568535706448e-08,0.9176050114631653,0.003720664427153444,0.9200735807418823,0.003141405448242311
df1,0.9500000000000001,True,0.0,0.9500000000000001,1.0,0.0,1.0,1.3754190043067842e-113,9.725680843264571e-113,7.389137233825217e-187,0.0,1.0,0.0,7.087405993392468e-09,3.238890143724776e-08,1.3754190043067842e-113,9.725680843264571e-113,7.389137233825217e-187,0.0,1.0,0.0,7.087405993392468e-09,3.238890143724776e-08,0.9185619831085206,0.0037210995546991944,0.9199541199207306,0.003244638742930747
df1,1.0,True,0.0,1.0,1.0,0.0,1.0,7.644723270564262e-129,5.404879079444834e-128,2.93667289989911e-214,0.0,1.0,0.0,3.014960428406588e-09,1.1358227686918345e-08,7.644723270564262e-129,5.404879079444834e-128,2.93667289989911e-214,0.0,1.0,0.0,3.014960428406588e-09,1.1358227686918345e-08,0.9178650546073913,0.004002232631362028,0.9195816743373871,0.003026587273323723
df2,0.0,True,0.0,0.0,1.0,0.0,1.0,0.4617248902989241,0.2850908052582297,0.49168807645799356,0.26974579373135577,1.0,0.0,0.5800036371714182,0.2785109503927616,0.4617248902989241,0.2850908052582297,0.49168807645799356,0.26974579373135577,1.0,0.0,0.5800036371714182,0.2785109503927616,0.9183988165855408,0.003613645373019933,0.9180602633953094,0.0033117279526579005
df2,0.05,True,0.05,0.0,1.0,0.0,1.0,0.5141994168929522,0.3096374254211437,0.37429617495744516,0.31424898288241976,1.0,0.0,0.18931065009908962,0.24855259487946077,0.5141994168929522,0.3096374254211437,0.37429617495744516,0.31424898288241976,1.0,0.0,0.18931065009908962,0.24855259487946077,0.9176753222942352,0.003427577363932641,0.9174473094940185,0.0036379814232045137
df2,0.1,True,0.1,0.0,1.0,0.0,1.0,0.3444307379051419,0.2946363745003601,0.13032634525592898,0.18186157761097532,1.0,0.0,0.0026645949831064514,0.013804385409609939,0.3444307379051419,0.2946363745003601,0.13032634525592898,0.18186157761097532,1.0,0.0,0.0026645949831064514,0.013804385409609939,0.918356192111969,0.004064348140265672,0.9178062570095062,0.003702291030249106
df2,0.15000000000000002,True,0.15000000000000002,0.0,1.0,0.0,1.0,0.3079734605723005,0.2841211764838728,0.029201088306782842,0.07362161430005439,1.0,0.0,1.6067623884872645e-06,5.457496842107862e-06,0.3079734605723005,0.2841211764838728,0.029201088306782842,0.07362161430005439,1.0,0.0,1.6067623884872645e-06,5.457496842107862e-06,0.9184179699420929,0.002849514507519093,0.9164021694660187,0.0037152867054973623
df2,0.2,True,0.2,0.0,1.0,0.0,1.0,0.2405985216368997,0.22123278515811517,0.0016968809875362824,0.009711478446950084,1.0,0.0,1.3010588462996132e-10,8.655071050009418e-10,0.2405985216368997,0.22123278515811517,0.0016968809875362824,0.009711478446950084,1.0,0.0,1.3010588462996132e-10,8.655071050009418e-10,0.91797438621521,0.0037258722815495834,0.9141441917419434,0.003113788215318549
df2,0.25,True,0.25,0.0,1.0,0.0,1.0,0.1702603457553149,0.2118987683202116,0.00014882034916440206,0.000588362607378738,1.0,0.0,3.802487403065817e-18,2.016720356697714e-17,0.1702603457553149,0.2118987683202116,0.00014882034916440206,0.000588362607378738,1.0,0.0,3.802487403065817e-18,2.016720356697714e-17,0.9181432247161865,0.003359619139780383,0.9122611570358277,0.0037373229985343762
df2,0.30000000000000004,True,0.30000000000000004,0.0,1.0,0.0,1.0,0.19535349898256082,0.19213824506904179,8.364383342869395e-06,3.846951512143705e-05,1.0,0.0,9.387145197926869e-25,4.5784082723080564e-24,0.19535349898256082,0.19213824506904179,8.364383342869395e-06,3.846951512143705e-05,1.0,0.0,9.387145197926869e-25,4.5784082723080564e-24,0.9185123765468597,0.004023254579900368,0.9090528380870819,0.003470719454771182
