setting,delta,method,empirical_rejection_rate
df1,0.0,proposed,0.14
df1,0.05,proposed,0.1
df1,0.1,proposed,0.04
df1,0.15000000000000002,proposed,0.1
df1,0.2,proposed,0.12
df1,0.25,proposed,0.14
df1,0.30000000000000004,proposed,0.2
df1,0.35000000000000003,proposed,0.14
df1,0.4,proposed,0.3
df1,0.45,proposed,0.34
df1,0.5,proposed,0.42
df1,0.55,proposed,0.48
df1,0.6000000000000001,proposed,0.58
df1,0.65,proposed,0.68
df1,0.7000000000000001,proposed,0.62
df1,0.75,proposed,0.68
df1,0.8,proposed,0.78
df1,0.8500000000000001,proposed,0.72
df1,0.9,proposed,0.88
df1,0.9500000000000001,proposed,0.86
df1,1.0,proposed,0.92
df1,0.0,regularization_only,0.1
df1,0.05,regularization_only,0.16
df1,0.1,regularization_only,0.5
df1,0.15000000000000002,regularization_only,0.88
df1,0.2,regularization_only,0.98
df1,0.25,regularization_only,1.0
df1,0.30000000000000004,regularization_only,1.0
df1,0.35000000000000003,regularization_only,1.0
df1,0.4,regularization_only,1.0
df1,0.45,regularization_only,1.0
df1,0.5,regularization_only,1.0
df1,0.55,regularization_only,1.0
df1,0.6000000000000001,regularization_only,1.0
df1,0.65,regularization_only,1.0
df1,0.7000000000000001,regularization_only,1.0
df1,0.75,regularization_only,1.0
df1,0.8,regularization_only,1.0
df1,0.8500000000000001,regularization_only,1.0
df1,0.9,regularization_only,1.0
df1,0.9500000000000001,regularization_only,1.0
df1,1.0,regularization_only,1.0
df1,0.0,reconstruction_only,0.0
df1,0.05,reconstruction_only,0.0
df1,0.1,reconstruction_only,0.0
df1,0.15000000000000002,reconstruction_only,0.0
df1,0.2,reconstruction_only,0.0
df1,0.25,reconstruction_only,0.0
df1,0.30000000000000004,reconstruction_only,0.0
df1,0.35000000000000003,reconstruction_only,0.0
df1,0.4,reconstruction_only,0.0
df1,0.45,reconstruction_only,0.0
df1,0.5,reconstruction_only,0.0
df1,0.55,reconstruction_only,0.0
df1,0.6000000000000001,reconstruction_only,0.0
df1,0.65,reconstruction_only,0.0
df1,0.7000000000000001,reconstruction_only,0.0
df1,0.75,reconstruction_only,0.0
df1,0.8,reconstruction_only,0.0
df1,0.8500000000000001,reconstruction_only,0.0
df1,0.9,reconstruction_only,0.0
df1,0.9500000000000001,reconstruction_only,0.0
df1,1.0,reconstruction_only,0.0
df1,0.0,uniform_weight,0.14
df1,0.05,uniform_weight,0.08
df1,0.1,uniform_weight,0.04
df1,0.15000000000000002,uniform_weight,0.18
df1,0.2,uniform_weight,0.14
df1,0.25,uniform_weight,0.24
df1,0.30000000000000004,uniform_weight,0.32
df1,0.35000000000000003,uniform_weight,0.36
df1,0.4,uniform_weight,0.56
df1,0.45,uniform_weight,0.58
df1,0.5,uniform_weight,0.68
df1,0.55,uniform_weight,0.78
df1,0.6000000000000001,uniform_weight,0.88
df1,0.65,uniform_weight,0.94
df1,0.7000000000000001,uniform_weight,0.94
df1,0.75,uniform_weight,0.92
df1,0.8,uniform_weight,0.96
df1,0.8500000000000001,uniform_weight,0.94
df1,0.9,uniform_weight,1.0
df1,0.9500000000000001,uniform_weight,0.98
df1,1.0,uniform_weight,1.0
df1,0.0,label_bce_binom,0.0
df1,0.05,label_bce_binom,0.0
df1,0.1,label_bce_binom,0.0
df1,0.15000000000000002,label_bce_binom,0.0
df1,0.2,label_bce_binom,0.0
df1,0.25,label_bce_binom,0.0
df1,0.30000000000000004,label_bce_binom,0.0
df1,0.35000000000000003,label_bce_binom,0.0
df1,0.4,label_bce_binom,0.0
df1,0.45,label_bce_binom,0.0
df1,0.5,label_bce_binom,0.0
df1,0.55,label_bce_binom,0.0
df1,0.6000000000000001,label_bce_binom,0.0
df1,0.65,label_bce_binom,0.0
df1,0.7000000000000001,label_bce_binom,0.0
df1,0.75,label_bce_binom,0.0
df1,0.8,label_bce_binom,0.0
df1,0.8500000000000001,label_bce_binom,0.0
df1,0.9,label_bce_binom,0.0
df1,0.9500000000000001,label_bce_binom,0.0
df1,1.0,label_bce_binom,0.0
df2,0.0,proposed,0.14
df2,0.05,proposed,0.44
df2,0.1,proposed,0.86
df2,0.15000000000000002,proposed,1.0
df2,0.2,proposed,1.0
df2,0.25,proposed,1.0
df2,0.30000000000000004,proposed,1.0
df2,0.35000000000000003,proposed,1.0
df2,0.4,proposed,1.0
df2,0.45,proposed,1.0
df2,0.5,proposed,1.0
df2,0.55,proposed,1.0
df2,0.6000000000000001,proposed,1.0
df2,0.65,proposed,1.0
df2,0.7000000000000001,proposed,1.0
df2,0.75,proposed,1.0
df2,0.8,proposed,1.0
df2,0.8500000000000001,proposed,1.0
df2,0.9,proposed,1.0
df2,0.9500000000000001,proposed,1.0
df2,1.0,proposed,1.0
df2,0.0,regularization_only,0.1
df2,0.05,regularization_only,0.06
df2,0.1,regularization_only,0.16
df2,0.15000000000000002,regularization_only,0.24
df2,0.2,regularization_only,0.38
df2,0.25,regularization_only,0.44
df2,0.30000000000000004,regularization_only,0.7
df2,0.35000000000000003,regularization_only,0.82
df2,0.4,regularization_only,0.9
df2,0.45,regularization_only,0.96
df2,0.5,regularization_only,1.0
df2,0.55,regularization_only,1.0
df2,0.6000000000000001,regularization_only,1.0
df2,0.65,regularization_only,1.0
df2,0.7000000000000001,regularization_only,1.0
df2,0.75,regularization_only,1.0
df2,0.8,regularization_only,1.0
df2,0.8500000000000001,regularization_only,1.0
df2,0.9,regularization_only,1.0
df2,0.9500000000000001,regularization_only,1.0
df2,1.0,regularization_only,1.0
df2,0.0,reconstruction_only,0.0
df2,0.05,reconstruction_only,0.0
df2,0.1,reconstruction_only,0.0
df2,0.15000000000000002,reconstruction_only,0.0
df2,0.2,reconstruction_only,0.0
df2,0.25,reconstruction_only,0.0
df2,0.30000000000000004,reconstruction_only,0.0
df2,0.35000000000000003,reconstruction_only,0.0
df2,0.4,reconstruction_only,0.0
df2,0.45,reconstruction_only,0.0
df2,0.5,reconstruction_only,0.0
df2,0.55,reconstruction_only,0.0
df2,0.6000000000000001,reconstruction_only,0.0
df2,0.65,reconstruction_only,0.0
df2,0.7000000000000001,reconstruction_only,0.0
df2,0.75,reconstruction_only,0.0
df2,0.8,reconstruction_only,0.0
df2,0.8500000000000001,reconstruction_only,0.0
df2,0.9,reconstruction_only,0.0
df2,0.9500000000000001,reconstruction_only,0.0
df2,1.0,reconstruction_only,0.0
df2,0.0,uniform_weight,0.14
df2,0.05,uniform_weight,0.46
df2,0.1,uniform_weight,0.9
df2,0.15000000000000002,uniform_weight,1.0
df2,0.2,uniform_weight,1.0
df2,0.25,uniform_weight,1.0
df2,0.30000000000000004,uniform_weight,1.0
df2,0.35000000000000003,uniform_weight,1.0
df2,0.4,uniform_weight,1.0
df2,0.45,uniform_weight,1.0
df2,0.5,uniform_weight,1.0
df2,0.55,uniform_weight,1.0
df2,0.6000000000000001,uniform_weight,1.0
df2,0.65,uniform_weight,1.0
df2,0.7000000000000001,uniform_weight,1.0
df2,0.75,uniform_weight,1.0
df2,0.8,uniform_weight,1.0
df2,0.8500000000000001,uniform_weight,1.0
df2,0.9,uniform_weight,1.0
df2,0.9500000000000001,uniform_weight,1.0
df2,1.0,uniform_weight,1.0
df2,0.0,label_bce_binom,0.0
df2,0.05,label_bce_binom,0.0
df2,0.1,label_bce_binom,0.0
df2,0.15000000000000002,label_bce_binom,0.0
df2,0.2,label_bce_binom,0.0
df2,0.25,label_bce_binom,0.0
df2,0.30000000000000004,label_bce_binom,0.0
df2,0.35000000000000003,label_bce_binom,0.0
df2,0.4,label_bce_binom,0.0
df2,0.45,label_bce_binom,0.22
df2,0.5,label_bce_binom,0.52
df2,0.55,label_bce_binom,0.86
df2,0.6000000000000001,label_bce_binom,0.92
df2,0.65,label_bce_binom,1.0
df2,0.7000000000000001,label_bce_binom,1.0
df2,0.75,label_bce_binom,1.0
df2,0.8,label_bce_binom,1.0
df2,0.8500000000000001,label_bce_binom,1.0
df2,0.9,label_bce_binom,1.0
df2,0.9500000000000001,label_bce_binom,1.0
df2,1.0,label_bce_binom,1.0
df3,0.0,proposed,0.14
df3,0.05,proposed,0.08
df3,0.1,proposed,0.04
df3,0.15000000000000002,proposed,0.12
df3,0.2,proposed,0.12
df3,0.25,proposed,0.12
df3,0.30000000000000004,proposed,0.24
df3,0.35000000000000003,proposed,0.26
df3,0.4,proposed,0.4
df3,0.45,proposed,0.42
df3,0.5,proposed,0.52
df3,0.55,proposed,0.58
df3,0.6000000000000001,proposed,0.62
df3,0.65,proposed,0.88
df3,0.7000000000000001,proposed,0.68
df3,0.75,proposed,0.8
df3,0.8,proposed,0.86
df3,0.8500000000000001,proposed,0.78
df3,0.9,proposed,0.96
df3,0.9500000000000001,proposed,0.88
df3,1.0,proposed,0.98
df3,0.0,regularization_only,0.1
df3,0.05,regularization_only,0.1
df3,0.1,regularization_only,0.12
df3,0.15000000000000002,regularization_only,0.14
df3,0.2,regularization_only,0.18
df3,0.25,regularization_only,0.26
df3,0.30000000000000004,regularization_only,0.36
df3,0.35000000000000003,regularization_only,0.54
df3,0.4,regularization_only,0.7
df3,0.45,regularization_only,0.86
df3,0.5,regularization_only,0.96
df3,0.55,regularization_only,1.0
df3,0.6000000000000001,regularization_only,1.0
df3,0.65,regularization_only,1.0
df3,0.7000000000000001,regularization_only,1.0
df3,0.75,regularization_only,1.0
df3,0.8,regularization_only,1.0
df3,0.8500000000000001,regularization_only,1.0
df3,0.9,regularization_only,1.0
df3,0.9500000000000001,regularization_only,1.0
df3,1.0,regularization_only,1.0
df3,0.0,reconstruction_only,0.0
df3,0.05,reconstruction_only,0.0
df3,0.1,reconstruction_only,0.0
df3,0.15000000000000002,reconstruction_only,0.0
df3,0.2,reconstruction_only,0.0
df3,0.25,reconstruction_only,0.0
df3,0.30000000000000004,reconstruction_only,0.0
df3,0.35000000000000003,reconstruction_only,0.0
df3,0.4,reconstruction_only,0.0
df3,0.45,reconstruction_only,0.0
df3,0.5,reconstruction_only,0.0
df3,0.55,reconstruction_only,0.0
df3,0.6000000000000001,reconstruction_only,0.0
df3,0.65,reconstruction_only,0.0
df3,0.7000000000000001,reconstruction_only,0.0
df3,0.75,reconstruction_only,0.0
df3,0.8,reconstruction_only,0.0
df3,0.8500000000000001,reconstruction_only,0.0
df3,0.9,reconstruction_only,0.0
df3,0.9500000000000001,reconstruction_only,0.0
df3,1.0,reconstruction_only,0.0
df3,0.0,uniform_weight,0.1
df3,0.05,uniform_weight,0.08
df3,0.1,uniform_weight,0.04
df3,0.15000000000000002,uniform_weight,0.18
df3,0.2,uniform_weight,0.12
df3,0.25,uniform_weight,0.24
df3,0.30000000000000004,uniform_weight,0.36
df3,0.35000000000000003,uniform_weight,0.42
df3,0.4,uniform_weight,0.54
df3,0.45,uniform_weight,0.54
df3,0.5,uniform_weight,0.7
