setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,pval_label_mean,pval_label_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df1,0.0,True,0.0,0.0,1.0,0.0,1.0,0.45465757819597125,0.26873983014012987,0.42038289310532534,0.30603488728386563,0.5518315028281717,0.27984380773224937,0.5474577727347668,0.26666849946166804,0.9774954929699967,0.04556440932839847,0.45465757819597125,0.26873983014012987,0.42038289310532534,0.30603488728386563,0.5518315028281717,0.27984380773224937,0.5474577727347668,0.26666849946166804,0.9179443216323853,0.005454794058812633,0.917533951997757,0.005968024727958645
df1,0.05,True,0.0,0.05,1.0,0.0,1.0,0.3083386720922773,0.2744007470209585,0.4825414924830406,0.2841732217030431,0.516673666770479,0.30043696370532214,0.49728600779856147,0.3216703699503327,0.9846144955393323,0.03057592449855493,0.3083386720922773,0.2744007470209585,0.4825414924830406,0.2841732217030431,0.516673666770479,0.30043696370532214,0.49728600779856147,0.3216703699503327,0.9200098586082458,0.005125630251177684,0.9190810918807983,0.006128240613375468
df1,0.1,True,0.0,0.1,1.0,0.0,1.0,0.04432180375386596,0.09797815679353229,0.319138318981851,0.27930701810228964,0.3372619148885858,0.2680041393274993,0.3976230115539587,0.3145845561536388,0.9899675181053381,0.020679634372123553,0.04432180375386596,0.09797815679353229,0.319138318981851,0.27930701810228964,0.3372619148885858,0.2680041393274993,0.3976230115539587,0.3145845561536388,0.9177526879310608,0.006541320678446687,0.9199682915210724,0.006543609186384979
df1,0.15000000000000002,True,0.0,0.15000000000000002,1.0,0.0,1.0,0.01663655347818037,0.08108384316193998,0.24296191345131246,0.26204906831467195,0.26164982612915905,0.23336470832373007,0.3553200674689439,0.30896040486832077,0.9923677278578676,0.013422210945160747,0.01663655347818037,0.08108384316193998,0.24296191345131246,0.26204906831467195,0.26164982612915905,0.23336470832373007,0.3553200674689439,0.30896040486832077,0.9186602532863617,0.005552590168738913,0.9194880270957947,0.004990961128996074
df1,0.2,True,0.0,0.2,1.0,0.0,1.0,0.0003526470408272194,0.0015908660310115026,0.05041618006372159,0.1055185939886396,0.13426304069375394,0.14496074969229825,0.2041304642120002,0.24685853345446404,0.9772484883184647,0.060902786702303896,0.0003526470408272194,0.0015908660310115026,0.05041618006372159,0.1055185939886396,0.13426304069375394,0.14496074969229825,0.2041304642120002,0.24685853345446404,0.9174494874477387,0.005689004227007812,0.9183247375488282,0.006423992043724709
df1,0.25,True,0.0,0.25,1.0,0.0,1.0,4.0890739840057454e-06,1.858920097317511e-05,0.02946080799268867,0.05295632962020911,0.045881814233018584,0.06187099727134724,0.12480999586186865,0.19565766421651887,0.9888793495379419,0.016047093003341343,4.0890739840057454e-06,1.858920097317511e-05,0.02946080799268867,0.05295632962020911,0.045881814233018584,0.06187099727134724,0.12480999586186865,0.19565766421651887,0.9180605661869049,0.00634280516990585,0.9172421216964721,0.004191204449438424
df1,0.30000000000000004,True,0.0,0.30000000000000004,1.0,0.0,1.0,1.1079288506925984e-07,6.671267512915589e-07,0.002545164633530047,0.006073274220889676,0.015811225683157962,0.04037302805651958,0.03954558285089754,0.07859789546939455,0.9753432049602806,0.051736318262357986,1.1079288506925984e-07,6.671267512915589e-07,0.002545164633530047,0.006073274220889676,0.015811225683157962,0.04037302805651958,0.03954558285089754,0.07859789546939455,0.9192559015750885,0.004976124936392837,0.9171232068538666,0.00603964725585242
df1,0.35000000000000003,True,0.0,0.35000000000000003,1.0,0.0,1.0,2.040117980709961e-12,1.3016498041951841e-11,0.00041613465496006223,0.0012792466987382421,0.006738507138313163,0.011417948166986823,0.025400919016604885,0.057354924973223496,0.9797651194566315,0.0629071660590725,2.040117980709961e-12,1.3016498041951841e-11,0.00041613465496006223,0.0012792466987382421,0.006738507138313163,0.011417948166986823,0.025400919016604885,0.057354924973223496,0.9192931830883027,0.006419549701260883,0.9173994398117066,0.005149228428237981
df1,0.4,True,0.0,0.4,1.0,0.0,1.0,6.082398739699239e-13,4.29786616665304e-12,8.184985948195349e-05,0.00033323891702620136,0.0017364003615676273,0.004632727908940047,0.006274765186199215,0.022431585848514537,0.9739305119841883,0.04568923900619482,6.082398739699239e-13,4.29786616665304e-12,8.184985948195349e-05,0.00033323891702620136,0.0017364003615676273,0.004632727908940047,0.006274765186199215,0.022431585848514537,0.9191739988327027,0.005604697395072311,0.9164424967765809,0.005969884097625207
df1,0.45,True,0.0,0.45,1.0,0.0,1.0,1.032619553843656e-18,5.7514784060716165e-18,1.4479527391587922e-05,6.956049344437056e-05,0.0006703497922018663,0.0014323266291289278,0.004006073751602925,0.010578602944968764,0.9633223372643084,0.06933852518063066,1.032619553843656e-18,5.7514784060716165e-18,1.4479527391587922e-05,6.956049344437056e-05,0.0006703497922018663,0.0014323266291289278,0.004006073751602925,0.010578602944968764,0.9194394564628601,0.0063234824479468064,0.916103755235672,0.006086921918205501
