delta,pval_base,pval,setting,gap
0.0,0.06,0.0,df1,0.06
0.05,0.2,0.0,df1,0.2
0.1,0.18,0.0,df1,0.18
0.15000000000000002,0.08,0.0,df1,0.08
0.2,0.18,0.0,df1,0.18
0.25,0.28,0.0,df1,0.28
0.30000000000000004,0.32,0.0,df1,0.32
0.35000000000000003,0.44,0.0,df1,0.44
0.4,0.58,0.0,df1,0.58
0.45,0.48,0.0,df1,0.48
0.5,0.48,0.0,df1,0.48
0.55,0.66,0.0,df1,0.66
0.6000000000000001,0.78,0.0,df1,0.78
0.65,0.68,0.0,df1,0.68
0.7000000000000001,0.72,0.0,df1,0.72
0.75,0.88,0.0,df1,0.88
0.8,0.8,0.0,df1,0.8
0.8500000000000001,0.78,0.0,df1,0.78
0.9,0.86,0.0,df1,0.86
0.9500000000000001,0.8,0.0,df1,0.8
1.0,0.84,0.0,df1,0.84
0.0,0.06,0.0,df2,0.06
0.05,0.6,0.0,df2,0.6
0.1,1.0,0.0,df2,1.0
0.15000000000000002,1.0,0.0,df2,1.0
0.2,1.0,0.0,df2,1.0
0.25,1.0,0.0,df2,1.0
0.30000000000000004,1.0,0.0,df2,1.0
0.35000000000000003,1.0,0.0,df2,1.0
0.4,1.0,0.0,df2,1.0
0.45,1.0,0.0,df2,1.0
0.5,1.0,0.0,df2,1.0
0.55,1.0,0.0,df2,1.0
0.6000000000000001,1.0,0.0,df2,1.0
0.65,1.0,0.0,df2,1.0
0.7000000000000001,1.0,0.0,df2,1.0
0.75,1.0,0.0,df2,1.0
0.8,1.0,0.0,df2,1.0
0.8500000000000001,1.0,0.0,df2,1.0
0.9,1.0,0.0,df2,1.0
0.9500000000000001,1.0,0.0,df2,1.0
1.0,1.0,0.0,df2,1.0
0.0,0.08,0.0,df3,0.08
0.05,0.1,0.0,df3,0.1
0.1,0.16,0.0,df3,0.16
0.15000000000000002,0.18,0.0,df3,0.18
0.2,0.28,0.0,df3,0.28
0.25,0.34,0.0,df3,0.34
0.30000000000000004,0.46,0.0,df3,0.46
0.35000000000000003,0.46,0.0,df3,0.46
0.4,0.6,0.0,df3,0.6
0.45,0.6,0.0,df3,0.6
0.5,0.72,0.0,df3,0.72
0.55,0.62,0.0,df3,0.62
0.6000000000000001,0.7,0.0,df3,0.7
0.65,0.68,0.0,df3,0.68
0.7000000000000001,0.8,0.0,df3,0.8
0.75,0.82,0.0,df3,0.82
0.8,0.94,0.0,df3,0.94
0.8500000000000001,0.9,0.0,df3,0.9
0.9,0.84,0.0,df3,0.84
0.9500000000000001,0.86,0.0,df3,0.86
1.0,0.78,0.0,df3,0.78
