model_name,epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
proposed,1,0.394247442483902,0.04294836052417755,0.04113583242893219,0.18125280952453612,0.03723841408888499,0.18529701232910156,0.039091384212176006,0.9140625,1.0,0.0,0.9140625,0.0859375,0.04113583242893219,0.180856032371521,0.0429443927526474,0.913,1.0,0.0,0.913,0.087
proposed,2,0.103842427333196,0.18566075250148775,0.182710821390152,0.29499311113357546,0.17575532694657645,0.2856227954228719,0.17861155490080516,0.7786458333333334,0.7585227272727273,1.0,0.9166666666666666,0.08333333333333333,0.182710821390152,0.29513861989974977,0.18566220758914947,0.751,0.7272727272727273,1.0,0.913,0.087
proposed,3,0.10765636091430981,0.018909228726029396,0.008923816457390786,0.998541226863861,0.008680689769486586,0.9993391633033752,0.01867408140252034,0.9280598958333334,1.0,0.1875,0.9114583333333334,0.08854166666666667,0.008923816457390786,0.9994791984558106,0.01891860844194889,0.932,1.0,0.21839080459770116,0.913,0.087
proposed,4,0.05442998558282852,0.026712973878383638,0.016729549586772918,0.9983424291610717,0.015920368644098442,0.9988330602645874,0.025908699246744316,0.9186197916666666,1.0,0.038461538461538464,0.9153645833333334,0.08463541666666667,0.016729549586772918,0.9990106010437012,0.02671965559720993,0.916,1.0,0.034482758620689655,0.913,0.087
proposed,5,0.05123506238063177,0.021426636019349098,0.011449391737580299,0.9977244281768799,0.01141667366027832,0.9989410638809204,0.021406084299087524,0.9391276041666666,1.0,0.2637795275590551,0.9173177083333334,0.08268229166666667,0.011449391737580299,0.9978155689239502,0.0214275474268198,0.943,1.0,0.3448275862068966,0.913,0.087
proposed,6,0.0273772943764925,0.03405946336627007,0.024069839805364607,0.9989623560905456,0.022697835539778072,0.9991626342137655,0.032689461881915724,0.970703125,0.9680964197093229,1.0,0.9182942708333334,0.08170572916666667,0.024069839805364607,0.9974606313705444,0.03404444611907005,0.965,0.9627601314348302,0.9885057471264368,0.913,0.087
proposed,7,0.03191540949046612,0.022615496293604376,0.012633630611002445,0.9981865682601929,0.011690750097235044,0.999204695224762,0.021682797049482665,0.9860026041666666,0.9850693210095983,0.9961389961389961,0.9156901041666666,0.08430989583333333,0.012633630611002445,0.9992845296859741,0.022626475907862188,0.98,0.9802847754654983,0.9770114942528736,0.913,0.087
proposed,8,0.019172503302494686,0.011631734566129745,0.0016508659357205033,0.9980868630409241,0.001611997140571475,0.9991884430249532,0.011603881570821008,0.9537760416666666,1.0,0.4365079365079365,0.91796875,0.08203125,0.0016508659357205033,0.997361487865448,0.011624480814374984,0.956,1.0,0.4942528735632184,0.913,0.087
proposed,9,0.017756544053554535,0.012785885791555048,0.002797284374013543,0.9988601417541504,0.002660404657945037,0.9990641673405966,0.012651046331351003,0.9498697916666666,1.0,0.4166666666666667,0.9140625,0.0859375,0.002797284374013543,0.9979887881278992,0.012777172255292535,0.947,1.0,0.39080459770114945,0.913,0.087
proposed,10,0.014174437150359154,0.01278983255788684,0.0028099830858409405,0.9979849472045899,0.0026471151504665613,0.9989169239997864,0.012636284390464426,0.986328125,0.9985820630981921,0.848605577689243,0.9182942708333334,0.08170572916666667,0.0028099830858409405,0.9998988466262817,0.012808971552103757,0.984,0.9978094194961665,0.8390804597701149,0.913,0.087
